2022,2655.571788
2023,2143.259138
2024,1682.167235
2025,1766.716052
2026,1482.402855
2027,1184.039859
2028,1086.379423
2029,845.599909
2030,668.299757
2031,512.622423
2032,355.467085
2033,254.291994
2034,183.995356
2035,137.371135
2036,87.032839
2037,61.542043
2038,43.928954
2039,34.301055
2040,26.387925
2041,19.290716
2042,12.236486
2043,6.384808
2044,3.899290
2045,2.333169
2046,1.472907
2047,0.876279
2048,0.481739
2049,0.313584
2050,0.240562
2051,0.135566
2052,0.056332
2053,0.016689
2054,0.006299
2055,0.000091
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
