年度,新法基礎（老齢）,新法基礎（障害）,新法基礎（遺族）,旧法国年,厚年みなし基礎
2021,0.998991899662393,1.022720354132600,0.939765181743329,0.774316853702935,1.008527208932950
2022,0.998991899662393,1.022720354132600,0.939765181743329,0.774316853702935,1.008527208932950
2023,0.999495949831196,1.011360177066300,0.969882590871664,0.887158426851468,1.004263604466480
2024,0.999495949831196,1.011360177066300,0.969882590871664,0.887158426851468,1.004263604466480
2025,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
2026,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
