年度,2021年度末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制度,私学共済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被保険者種別,1種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計項目,被保険者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別１,現存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,被保険者期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,合計
38,76,231,269,264,277,301,276,313,355,324,349,302,301,315,375,324,479,56,29,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5224
39,72,222,238,230,254,274,269,267,286,307,304,325,311,299,379,371,321,464,64,35,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5304
40,76,197,237,216,237,279,242,258,267,278,291,312,317,296,315,347,366,277,442,46,32,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5334
41,61,182,221,216,232,221,261,246,281,264,265,278,314,305,293,274,361,326,298,389,47,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5377
42,80,169,193,201,184,207,231,236,256,237,252,260,283,317,318,295,312,324,338,266,356,34,30,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5394
43,64,147,168,190,168,217,207,232,271,249,244,267,284,311,299,319,341,303,311,322,252,364,35,38,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5612
44,61,174,179,185,181,201,202,201,218,244,253,224,263,271,317,343,299,303,263,271,328,283,341,48,46,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5718
45,50,141,186,152,191,171,193,181,182,230,205,227,236,259,286,273,301,243,292,281,261,307,275,350,51,40,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5592
46,62,140,166,162,161,154,157,190,172,197,204,221,213,211,246,276,256,291,335,273,264,287,266,256,345,49,39,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5617
47,56,146,163,161,140,173,176,148,171,188,167,185,229,241,293,229,251,286,257,293,249,240,230,305,311,359,45,51,8,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780
48,53,128,169,142,154,134,138,148,165,154,209,178,182,216,231,264,260,266,295,237,239,229,205,251,294,353,418,55,47,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5844
49,54,144,139,118,131,135,144,157,165,152,165,152,164,175,221,241,234,243,249,235,241,248,232,224,284,317,367,414,78,74,9,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5933
50,56,122,150,122,137,129,132,120,141,152,147,149,139,133,178,206,211,211,246,210,227,250,221,216,216,262,298,358,414,79,92,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5759
51,47,118,140,124,127,119,126,128,143,109,143,152,136,154,170,198,202,200,198,197,210,216,182,204,198,205,241,291,357,465,71,95,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5698
52,58,109,122,117,113,105,107,97,123,117,115,124,126,139,147,149,195,183,216,177,173,203,194,199,178,186,169,237,286,356,477,105,61,10,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5495
53,56,104,134,102,103,103,105,103,123,107,98,101,126,128,143,146,150,162,166,180,159,174,152,170,187,183,172,184,221,307,383,470,81,42,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5356
54,63,126,115,95,97,112,96,97,105,115,101,102,110,107,131,118,129,158,166,136,148,148,143,156,169,201,183,181,175,257,296,337,459,70,47,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5285
55,137,130,114,98,106,103,91,86,82,87,84,85,109,77,105,120,127,101,113,144,130,124,125,142,135,129,151,154,161,177,228,275,394,381,55,27,11,26,0,1,1,0,0,0,0,0,0,0,0,0,0,4926
56,63,196,185,123,93,108,106,87,100,80,116,86,90,96,99,111,115,117,123,103,114,117,131,119,150,140,161,155,186,191,194,288,372,434,470,55,44,10,39,1,0,0,0,0,0,0,0,0,0,0,0,5568
57,66,148,177,248,107,110,103,78,101,98,107,91,87,94,106,106,121,114,122,123,133,143,128,101,130,137,144,144,185,214,229,238,318,370,490,493,76,32,10,43,0,1,0,0,0,0,0,0,0,0,0,6066
58,77,131,127,129,223,107,99,87,94,92,80,88,100,103,96,93,97,118,119,87,115,113,90,125,120,125,119,146,152,199,231,220,236,294,370,459,485,59,32,11,39,0,0,0,0,0,0,0,0,0,0,5887
59,66,164,116,135,166,180,112,114,101,94,94,94,81,102,101,91,111,94,97,94,94,127,120,111,129,140,137,117,150,145,204,239,224,234,293,341,468,496,67,35,18,40,0,0,0,0,0,0,0,0,0,6136
60,129,172,135,133,105,150,173,99,93,93,99,78,92,72,90,86,85,95,107,96,91,96,87,90,125,117,136,124,130,161,202,219,226,187,213,268,315,454,415,45,25,16,35,0,0,0,0,0,0,0,0,5959
61,98,896,177,139,123,122,132,188,106,116,90,77,59,85,82,89,97,84,101,85,74,82,99,94,92,89,98,110,124,155,160,165,168,200,161,181,219,313,402,389,45,30,8,33,1,0,0,0,0,0,0,6438
62,73,283,917,148,124,113,112,136,142,94,85,65,73,70,87,82,78,73,75,86,66,75,75,76,73,90,89,118,130,108,123,157,160,162,171,187,194,202,258,338,348,52,21,15,27,1,0,0,0,0,0,6232
63,71,171,312,801,149,134,94,107,129,183,92,75,83,64,85,78,77,95,76,68,79,74,59,52,79,91,82,96,100,115,110,132,138,170,169,191,140,164,231,264,291,354,30,21,9,31,0,0,0,0,0,6216
