104,2.2,2.2,0.5,0.5,0.5,0.8
105,2.2,2.2,0.5,0.5,0.5,0.8
106,2.2,2.2,0.5,0.5,0.5,0.8
107,2.2,2.2,0.5,0.5,0.5,0.8
108,2.2,2.2,0.5,0.5,0.5,0.8
109,2.2,2.2,0.5,0.5,0.5,0.8
110,2.2,2.2,0.5,0.5,0.5,0.8
111,2.2,2.2,0.5,0.5,0.5,0.8
112,2.2,2.2,0.5,0.5,0.5,0.8
113,2.2,2.2,0.5,0.5,0.5,0.8
114,2.2,2.2,0.5,0.5,0.5,0.8
115,2.2,2.2,0.5,0.5,0.5,0.8
116,2.2,2.2,0.5,0.5,0.5,0.8
117,2.2,2.2,0.5,0.5,0.5,0.8
118,2.2,2.2,0.5,0.5,0.5,0.8
119,2.2,2.2,0.5,0.5,0.5,0.8
120,2.2,2.2,0.5,0.5,0.5,0.8
