諸設定値,,,,,,,,,,,,,,,,,,,,,,
年,ケース,短時間非正規雇用割合,平均労働時間（正規）,平均労働時間（フル非正規）,平均労働時間（非正規20未満）,平均労働時間（非正規20～24）,平均労働時間（非正規25～29）,平均労働時間（非正規30～34）,平均労働時間（ｩ営）,平均労働時間（短被）,平均労働時間（短雇）,15時間未満,15～19時間,20～24時間,25～29時間,30～34時間,厚年適用率（正規）,厚年適用率（フル非正規）,厚年適用率（～20時間）,厚年適用率（20～24時間）,厚年適用率（25～29時間）,厚年適用率（30～34時間）
2020,3,0.2320000000000000000,174.4740141569250000000,167.4069215179470000000,52.7428486893187000000,89.5408084045701000000,107.4652933042470000000,129.6228652860700000000,140.4161664645390000000,103.8260460966350000000,80.9444387820017000000,0.2875471698113210000,0.1879245283018870000,0.2369811320754720000,0.1184905660377360000,0.1690566037735850000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2021,3,0.2320000000000000000,175.3482879299610000000,167.4968497600690000000,52.8362098752517000000,90.2235421893716000000,108.4244576719760000000,130.1094418456760000000,140.7211429930510000000,104.3820472569200000000,81.0845655997671000000,0.2912621359223300000,0.1911874533233760000,0.2315160567587750000,0.1157580283793880000,0.1702763256161310000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2022,3,0.2320000000000000000,175.3641554137380000000,167.7439329361990000000,53.0705237771367000000,89.3677756844283000000,107.5782740194090000000,130.1322446938120000000,141.8042318698080000000,104.2179449254960000000,81.0280716093723000000,0.2883480825958700000,0.1924778761061950000,0.2315634218289090000,0.1157817109144540000,0.1718289085545720000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2023,3,0.2320000000000000000,175.3641554137380000000,167.7439329361990000000,53.0705237771367000000,89.3677756844283000000,107.5782740194090000000,130.1322446938120000000,141.8042318698080000000,104.2179449254960000000,81.0280716093723000000,0.2883480825958700000,0.1924778761061950000,0.2315634218289090000,0.1157817109144540000,0.1718289085545720000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2024,3,0.2320000000000000000,175.3641554137380000000,167.7439329361990000000,53.0705237771367000000,89.3677756844283000000,107.5782740194090000000,130.1322446938120000000,141.8042318698080000000,104.2179449254960000000,81.0280716093723000000,0.2883480825958700000,0.1924778761061950000,0.2315634218289090000,0.1157817109144540000,0.1718289085545720000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2025,3,0.2320000000000000000,175.3641554137380000000,167.7439329361990000000,53.0705237771367000000,89.3677756844283000000,107.5782740194090000000,130.1322446938120000000,141.8042318698080000000,104.2179449254960000000,81.0280716093723000000,0.2883480825958700000,0.1924778761061950000,0.2315634218289090000,0.1157817109144540000,0.1718289085545720000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2026,3,0.2320000000000000000,175.3641554137380000000,167.7439329361990000000,53.0705237771367000000,89.3677756844283000000,107.5782740194090000000,130.1322446938120000000,141.8042318698080000000,104.2179449254960000000,81.0280716093723000000,0.2883480825958700000,0.1924778761061950000,0.2315634218289090000,0.1157817109144540000,0.1718289085545720000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2027,3,0.2320000000000000000,175.3641554137380000000,167.7439329361990000000,53.0705237771367000000,89.3677756844283000000,107.5782740194090000000,130.1322446938120000000,141.8042318698080000000,104.2179449254960000000,81.0280716093723000000,0.2883480825958700000,0.1924778761061950000,0.2315634218289090000,0.1157817109144540000,0.1718289085545720000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2028,3,0.2320000000000000000,175.3641554137380000000,167.7439329361990000000,53.0705237771367000000,89.3677756844283000000,107.5782740194090000000,130.1322446938120000000,141.8042318698080000000,104.2179449254960000000,81.0280716093723000000,0.2883480825958700000,0.1924778761061950000,0.2315634218289090000,0.1157817109144540000,0.1718289085545720000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
2029,3,0.2320000000000000000,175.3641554137380000000,167.7439329361990000000,53.0705237771367000000,89.3677756844283000000,107.5782740194090000000,130.1322446938120000000,141.8042318698080000000,104.2179449254960000000,81.0280716093723000000,0.2883480825958700000,0.1924778761061950000,0.2315634218289090000,0.1157817109144540000,0.1718289085545720000,0.9269728857307520000,0.8295717897501160000,0.1174520822930210000,0.2878160011224050000,0.5729522564926710000,0.8208974785779650000
