諸設定値,,,,,,,,,,,,,,,,,,,,,,
年,ケース,短時間非正規雇用割合,平均労働時間（正規）,平均労働時間（フル非正規）,平均労働時間（非正規20未満）,平均労働時間（非正規20～24）,平均労働時間（非正規25～29）,平均労働時間（非正規30～34）,平均労働時間（ｩ営）,平均労働時間（短被）,平均労働時間（短雇）,15時間未満,15～19時間,20～24時間,25～29時間,30～34時間,厚年適用率（正規）,厚年適用率（フル非正規）,厚年適用率（～20時間）,厚年適用率（20～24時間）,厚年適用率（25～29時間）,厚年適用率（30～34時間）
2020,1,0.23200000000000000000000,174.47401415692500000000000,167.40692151794700000000000,52.74284868931870000000000,89.54080840457010000000000,107.46529330424700000000000,129.62286528607000000000000,140.41616646453900000000000,103.82604609663500000000000,80.94443878200170000000000,0.28754716981132100000000,0.18792452830188700000000,0.23698113207547200000000,0.11849056603773600000000,0.16905660377358500000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2021,1,0.23200000000000000000000,175.34828792996100000000000,167.49684976006900000000000,52.83620987525170000000000,90.22354218937160000000000,108.42445767197600000000000,130.10944184567600000000000,140.72114299305100000000000,104.38204725692000000000000,81.08456559976710000000000,0.29126213592233000000000,0.19118745332337600000000,0.23151605675877500000000,0.11575802837938800000000,0.17027632561613100000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2022,1,0.23200000000000000000000,175.36415541373800000000000,167.74393293619900000000000,53.07052377713670000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,104.21794492549600000000000,81.02807160937230000000000,0.28834808259587000000000,0.19247787610619500000000,0.23156342182890900000000,0.11578171091445400000000,0.17182890855457200000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2023,1,0.23589324235109700000000,174.99945826460900000000000,167.74393293619900000000000,53.15885022580530000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,106.06343174033800000000000,82.87361576162990000000000,0.27387315329120300000000,0.18524041145386100000000,0.22432595717657500000000,0.12301917556678800000000,0.19354130251157200000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2024,1,0.23985181804704000000000,174.63551956015900000000000,167.74393293619900000000000,53.25826955265020000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,107.76988839514400000000000,84.76119513884450000000000,0.25906853428021700000000,0.17783810194836800000000,0.21692364767108200000000,0.13042148507228100000000,0.21574823102805200000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2025,1,0.24387682346086800000000,174.27233772308500000000000,167.74393293619900000000000,53.37098099788270000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,109.35206869403100000000000,86.69176716061240000000000,0.24392671635162700000000,0.17026719298407300000000,0.20935273870678700000000,0.13799239403657600000000,0.23846095792093700000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2026,1,0.24796937336409600000000,173.90991117936100000000000,167.74393293619900000000000,53.49980619809650000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,110.82271182445300000000000,88.66631105329510000000000,0.22844001925983400000000,0.16252384443817600000000,0.20160939016089000000000,0.14573574258247200000000,0.26169100355862700000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2027,1,0.25213060123545800000000,173.54823835823800000000000,167.74393293619900000000000,53.64842613336800000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,112.19287492135100000000000,90.68582834670350000000000,0.21260058782933700000000,0.15460412872292800000000,0.19368967444564200000000,0.15365545829772100000000,0.28545015070437200000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2028,1,0.25636165957484300000000,173.18731769223100000000000,167.74393293619900000000000,53.82173524293240000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,113.47220185817100000000000,92.75134338209450000000000,0.19640038797043000000000,0.14650402879347400000000,0.18558957451618800000000,0.16175555822717400000000,0.30975045049273300000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2029,1,0.26066372022249000000000,172.82714761711700000000000,167.74393293619900000000000,54.02638637620150000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,114.66914209032300000000000,94.86390383173820000000000,0.17983120260414000000000,0.13821943611033000000000,0.17730498183304300000000,0.17004015091031900000000,0.33460422854216700000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2030,1,0.26503797468354400000000,172.46772657192500000000000,167.74393293619900000000000,54.27165840202550000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,115.79113005408600000000000,97.02458123031950000000000,0.16288462749435700000000,0.12974614855543800000000,0.16883169427815200000000,0.17851343846521100000000,0.36002409120684200000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
2031,1,0.26830168508700600000000,172.31303363715100000000000,167.74393293619900000000000,54.39483211758240000000000,89.36777568442830000000000,107.57827401940900000000000,130.13224469381200000000000,141.80423186980800000000000,116.25971559982800000000000,97.98440843647090000000000,0.15535653290136500000000,0.12598210125894200000000,0.16506764698165600000000,0.18227748576170700000000,0.37131623309632900000000,0.92697288573075200000000,0.82957178975011600000000,0.11745208229302100000000,0.28781600112240500000000,0.57295225649267100000000,0.82089747857796500000000
