îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,2,64796518,409126,425504,446610,458758,476786,489602,487651,500926,502649,513465,517816,520562,530779,527345,523987,524155,544825,548945,570651,590112,606718,610829,621512,622835,624071,631637,628011,612692,618013,614649,627606,638891,656763,675243,684020,711507,735711,745911,747373,751921,785600,804214,835346,856197,896212,933904,986180,1007110,987144,960220,931708,918600,897008,894878,701484,862599,808886,788940,763735,749072,755430,768620,748855,728040,764705,787569,788835,839130,885623,935775,1005434,1098181,1085163,1023795,639054,686501,834870,800016,814920,782135,702099,599611,628598,629361,612336,564951,513071,489221,447622,402847,350475,309423,267062,210549,174069,135592,100536,75866,55873,38994,28264,15144,10572,6464,4245,5818
2021,2,64483231,405212,408410,425197,446424,458490,476583,489404,487580,500856,502636,513560,518030,520791,530881,527449,524238,523853,544504,549387,573609,596780,607116,609961,621725,622657,622247,629212,625310,610460,616108,612842,625640,636950,655053,673533,682469,710022,734584,744945,746331,751023,784691,803263,834418,855337,895203,932861,985002,1005680,985729,958601,930217,916989,895223,893069,700033,860604,806870,786803,761572,746822,753012,765914,746243,725174,761537,784042,784916,834434,880230,929630,998270,1089358,1075326,1013888,631970,677995,823342,787686,800558,766402,685788,583638,609376,607474,587359,538380,484947,458576,415258,369090,316077,275067,234057,179044,145035,109027,79019,58014,42010,28356,19823,10224,6862,4026,5728
2022,2,64189000,388517,404419,408302,425295,446531,458483,476564,489516,487712,501155,502830,513908,518615,521127,531318,527791,524082,524179,548837,557242,583877,605161,613773,616908,627722,626246,624075,630295,626028,610884,615990,612770,625369,636775,654813,673322,682253,709645,734011,744501,745788,750789,784330,802892,834106,854942,894648,932104,984212,1004603,984469,957341,928670,915581,893512,891390,698510,858772,804907,784703,759501,744499,750568,762997,743216,722093,758006,780143,780486,829415,874496,922799,990351,1079590,1064510,1002543,623937,668284,810292,773266,783830,747973,666681,564985,586951,581720,558614,507893,453183,423947,379023,332021,280017,239015,199012,147009,116007,85005,59004,42003,29385,19057,12818,6352,4091,5303
2023,2,63859450,368838,388004,404192,408197,425273,446566,458610,476818,489563,487953,501468,503096,514449,518875,521408,531558,527583,524058,529933,562142,569423,594936,615618,621875,622235,631326,628645,626339,631839,627352,612221,616936,613873,626210,637215,655228,673408,682270,709553,734014,744342,745577,750509,783909,802491,833479,854186,893797,931051,982820,1002995,982826,955729,926734,913555,891477,889252,696766,856449,802405,781992,756725,741759,747601,759827,739719,718355,753985,775759,775636,823601,867907,914895,981072,1068471,1051993,989581,614658,657260,794896,756661,764664,727210,645224,543475,561160,552328,525871,473599,417892,385469,339533,292597,241667,202721,165772,116839,88878,62913,42941,28324,19601,12232,7905,3759,5075
2024,2,63943249,380621,376696,390757,409819,410863,427313,448253,460337,478506,491607,489937,503414,505267,516224,520452,522944,534108,534760,539853,552043,584909,597522,621668,638176,648199,644293,647375,642474,639174,643712,637980,620840,624441,619696,631545,641888,658905,676723,685170,712600,736878,747147,748535,752829,786102,804236,834756,854952,894220,931096,982430,1002504,981888,954337,925283,911669,889725,887096,694812,854004,800173,779830,754278,739181,744816,757062,736731,715282,750257,771423,771063,818367,861645,907999,972513,1058279,1041319,977718,606942,647467,780824,741209,746224,706604,624556,523535,537234,524722,495695,441965,385394,350561,304125,257246,208970,171203,135610,97377,72922,50826,33329,22034,14092,8473,5254,5359
2025,2,63703078,381726,380920,377217,391289,410244,411206,427681,448714,460893,479124,492260,490591,504096,506014,516756,520869,524595,538954,543743,552302,566036,598271,609017,631101,645478,653482,648179,650593,645251,641453,645471,639338,621925,625320,620366,631985,642160,659149,677039,685545,712967,737186,747363,748645,752825,785943,803904,834238,854249,893310,929974,981057,1000915,980163,952529,923420,909715,887674,884876,692884,851510,797672,777248,751628,736400,741797,753740,733217,711561,745993,766616,765796,812239,854556,899739,962651,1046232,1027942,963474,596856,635131,763711,722487,724465,682761,600119,499761,508926,492643,460542,405675,348889,312451,266392,221017,175727,140580,108459,75656,54894,36980,23386,14880,9144,5276,6068
2026,2,63453351,380925,382027,381440,377755,391718,410588,411576,428142,449269,461509,479774,492915,491268,504843,506545,517173,522520,529446,547933,556185,566296,579423,609765,618431,638401,650765,657370,651406,653370,647530,643219,646829,640419,622807,625990,620813,632265,642415,659476,677421,685926,713288,737412,747480,748648,752692,785631,803419,833564,853393,892247,928687,979518,999179,978330,950636,921464,907646,885478,882505,690841,848890,795064,774552,748835,733450,738581,750194,729454,707567,741404,761446,760130,805639,846883,890741,951850,1032992,1013195,947717,585665,621433,744727,701752,700406,656466,573289,473826,478273,458212,423255,367760,311437,274141,229289,186222,144600,112689,84472,57100,40047,26019,15838,9684,5711,6506
2027,2,63196210,381840,381231,382550,381979,378188,392064,410958,412037,428696,449883,462154,480425,493593,492010,505374,506963,518825,527373,538440,560368,570173,579684,590912,619176,625726,643697,654658,660599,654190,655648,649296,644581,647910,641297,623482,626438,621102,632528,642752,659868,677808,686262,713528,737538,747490,748523,752408,785169,802782,832741,852389,891024,927239,977834,997334,976411,948649,919392,905428,883130,879989,688699,846157,792342,771713,745874,730308,735148,746396,725415,703267,736465,755882,754028,798497,838528,880887,939979,1018394,996880,930230,573233,606226,723689,678810,673850,627567,543985,445705,445324,421627,384220,328775,273698,236377,193562,153553,116171,87977,63915,41767,28255,17671,10336,6065,7027
2028,2,62933062,383702,382149,381756,383089,382411,378536,392436,411420,412589,429306,450526,462800,481098,494337,492540,505792,508616,523680,536372,550900,574349,583558,591174,600306,626470,631037,647604,657892,663384,656475,657413,650658,645666,648788,641967,623934,626727,621373,632872,643153,660265,678150,686516,713669,737560,747373,748249,751979,784558,802000,831774,851231,889645,925653,976043,995402,974395,946543,917173,903058,880639,877345,686470,843301,789474,768701,742720,726955,731473,742319,721065,698639,731147,749887,747427,790723,829380,870058,926890,1002244,978770,910795,559422,589362,700393,653466,644634,595963,512168,415434,410256,383252,343994,289398,236405,199921,159930,123635,90908,66733,46875,29549,19243,11565,6492,7548
2029,2,62664208,385407,384013,382676,382297,383522,382759,378908,392897,411972,413198,429944,451168,463466,481837,494867,492960,507446,513477,532687,548839,564904,587731,595051,600570,607596,631785,634970,650850,660682,665670,658245,658775,651744,646548,649458,642414,624228,626999,621724,633280,643559,660617,678411,686673,713707,737455,747108,747831,751405,783805,801079,830655,849922,888132,923965,974167,993371,972260,944288,914800,900542,878020,874586,684149,840292,786431,765492,739353,723366,727526,737925,716380,693653,725418,743405,740244,782214,819327,858118,912409,984314,958636,889195,544096,570677,674640,625557,612647,561607,477871,383164,373401,343620,303270,250391,200314,165515,129047,96973,69126,49068,33251,20180,12629,7284,8114
2030,2,62389635,386679,385720,384541,383218,382731,383870,383132,379370,393448,412580,413831,430579,451830,464199,482366,495287,494615,512309,522502,545165,562849,578298,599226,604450,607861,612927,635723,638239,653651,662972,667441,659611,659859,652625,647221,649905,642702,624503,627351,622139,633692,643920,660888,678575,686727,713620,737203,746698,747268,750694,782915,800011,829388,848484,886521,922198,972196,991220,969973,941876,912279,897896,875288,871704,681708,837100,783190,762068,735749,719511,723273,733190,711330,688281,719224,736353,732384,772864,808243,844907,896331,964373,936246,865208,527104,550005,646253,594967,577829,524521,441251,349187,335259,303406,262832,212549,166165,133835,101447,73915,50957,34899,22769,13280,7976,8930
2031,2,62109177,387424,386995,386250,385083,383652,383080,384244,383594,379919,394053,413213,414461,431232,452558,464726,482787,496942,499485,521337,535008,559187,576248,589791,608629,611743,613193,616892,638998,641061,655951,664747,668807,660698,660741,653299,647672,650192,642972,624859,627767,622559,634059,644200,661063,678637,686659,713389,736808,746146,746571,749852,781881,798799,827995,846952,884835,920342,970108,988915,967526,939314,909629,895135,872434,868667,679122,833697,779730,758401,731878,715357,718688,728085,705887,682473,712486,728637,723748,762555,795980,830238,878443,942186,911366,838594,508293,527200,615104,561630,540197,484862,402623,313950,296470,263382,223507,176654,134641,105447,77510,54624,36336,23961,15025,8409,9832
2032,2,61822504,387526,387743,387526,386793,385518,384002,383453,384706,384144,380522,394681,413843,415108,431954,453085,465148,484444,501812,508534,533848,549056,572591,587741,599187,615924,617075,617159,620191,641824,643378,657734,666116,669894,661582,661415,653750,647963,650462,643323,625278,628187,622933,634346,644385,661138,678578,686450,713018,736272,745460,745743,748869,780706,797464,826510,845349,883064,918376,967872,986450,964926,936618,906862,892250,869428,865444,676371,830064,776025,754462,727705,710876,713741,722580,700003,676158,705117,720161,714227,751149,782361,813913,858531,917516,883744,809106,487521,502150,581118,525549,499891,442954,362482,278037,257775,224365,186112,143432,106314,80754,57421,39051,25014,15854,9540,10629
