îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,1,61349581,428005,446054,468457,480153,501907,514130,513861,524747,526616,540528,545068,547643,557531,555138,550198,552565,574977,581329,601356,617391,635288,636254,650572,654083,657797,666373,664013,648773,653163,646827,658299,668200,687872,703827,713052,736009,759345,767985,767910,774703,808361,828439,858203,880994,922678,959382,1014419,1028714,1011319,980062,948528,931255,908002,904190,702426,865574,809982,787524,760609,743211,744337,755785,730040,707360,739220,758861,753073,791277,828019,868112,918371,994845,968781,906112,548814,571689,681688,643636,643418,605752,527887,438311,441377,426809,397396,346288,296592,264598,227782,189088,152333,123329,97680,71879,53891,37221,24411,15549,9957,6309,4203,2158,1385,888,483,716
2021,1,61019059,424679,427186,445687,468124,479933,501716,513940,513743,524738,526605,540466,545175,547862,557623,555299,550482,552518,574885,581759,604471,623822,637522,637146,652223,653993,655903,663750,661024,645765,649639,644077,655259,665297,685449,701519,710952,734104,757654,766460,766356,773380,806933,827100,856980,879576,921197,957734,1012455,1026559,1009248,977600,946030,928530,905115,901115,699663,861967,806084,783773,756588,739024,739361,750320,724274,701239,731982,750775,744166,780861,816077,854298,901855,975395,948192,885288,534662,555354,660381,621441,618961,579922,502604,414690,415101,398003,367579,316393,267935,235688,199786,162753,128804,102844,79879,55915,40938,27958,17973,10983,6989,4102,2639,1308,810,500,626
2022,1,60757789,409369,423729,427011,445732,468112,479967,501749,513992,513920,524934,526927,540926,545768,548142,558067,555846,550803,553288,579287,590972,617502,637738,650023,648791,661796,660337,659525,666224,662300,646151,650081,644175,655061,665227,685411,701044,710508,733739,756983,765958,765851,772833,806467,826529,856249,878784,920416,956644,1011046,1024995,1007359,975640,943948,926216,902481,898108,697098,858603,802585,780072,752610,734359,734175,744574,718153,694588,724083,742003,734397,769506,802850,839103,883813,954136,925201,861686,518776,537270,636473,597064,591425,551175,474934,388980,385933,366607,335181,284477,237501,205721,171250,137200,106155,83121,63092,43063,30044,19028,12018,7010,4265,2476,1537,735,438,563
2023,1,60492427,387900,408872,423411,426937,445852,468140,480053,501888,514207,514139,525372,527241,541446,545997,548480,558540,556016,551241,559011,593468,606082,632170,653423,662836,657308,668241,665467,664192,669768,665630,649556,653190,646559,657189,666884,686831,702286,711512,734477,757617,766507,765977,772824,806227,826394,855881,878471,919728,955782,1009851,1023336,1005615,973787,941789,923900,899939,894954,694501,855001,798732,775991,747932,729204,728239,737959,710991,686818,715292,732141,723384,756464,787981,822112,863964,930516,900267,835869,501621,517656,610023,569873,561579,520197,444937,361404,354751,333644,301011,251898,206450,175664,143725,112784,84838,64876,47908,30941,20960,12975,7985,4531,2872,1608,963,444,559
2024,1,59958108,396842,393185,408286,428920,427978,446133,468613,480498,502482,514942,514917,526006,528000,542018,546571,549069,559320,558700,557435,564486,590968,600133,621710,638514,656067,654958,665545,664912,665373,671828,668031,651694,655152,648098,658860,667962,686740,701971,710826,733628,756868,765388,765109,771619,804901,824597,853828,876022,916841,952550,1006354,1019539,1001184,969020,936521,918201,894029,888812,689264,847959,791796,768097,739919,720990,719936,728598,701182,676628,703948,719060,709682,741242,770410,801629,841109,902953,871221,806781,483099,495750,580607,537782,525413,482103,408465,328065,317783,294064,260450,214795,173058,144384,115505,88437,65490,48301,34381,22643,15159,9264,5347,2982,1664,916,529,512
2025,1,59615225,397074,396807,393291,408451,429073,428120,446297,468833,480789,502853,515376,515370,526456,528477,542457,546942,549940,561616,562801,563178,571461,598704,608274,629788,645709,661582,658829,668397,667151,667140,673179,669026,652409,655605,648266,658716,667567,686212,701414,710268,733022,756169,764604,764264,770704,803851,823384,852407,874390,914938,950329,1003718,1016540,997906,965522,932811,914212,889758,884133,685221,842520,786210,762158,733651,714285,712565,720373,692460,667375,693400,707280,696978,726724,753848,782661,819160,876948,843497,778321,464103,473897,551796,507683,492215,447690,375499,298129,285040,259961,226611,183690,145274,118793,92969,69484,50111,35918,24804,15825,10251,6054,3374,1815,977,518,548
2026,1,59266064,395200,397044,396915,393466,408611,429217,428286,446517,469123,481156,503284,515831,515817,526933,528913,542828,547815,552241,565716,568538,570160,579231,606850,616351,636986,651232,665452,661691,670637,668922,668500,674175,669732,652868,655771,648134,658333,667059,685672,700870,709688,732354,755405,763772,763371,769712,802685,822031,850839,872596,912830,947865,1000801,1013255,994352,961748,928810,909901,885131,879055,680847,836655,780205,755780,726910,707057,704612,711516,683097,657480,682156,694747,683465,711262,736195,762449,795811,849329,814054,748052,443876,450651,521266,475970,457475,411961,341609,267737,252319,226510,194089,154447,119728,95789,73188,53279,37347,25972,17376,10727,6715,3829,2058,1068,554,564
2027,1,58912647,395035,395176,397154,397089,393630,408757,429384,428507,446806,469489,481582,503735,516278,516291,527370,529284,543703,550119,556355,571453,575514,577936,587392,614927,623547,642515,655111,668313,663942,672408,670285,669504,674882,670184,653041,655639,647765,657838,666540,685147,700305,709049,731622,754595,762893,762402,768609,801382,820537,849115,870608,910488,945136,997604,1009693,990516,957677,924485,905229,880107,873553,676136,830346,773754,748919,719640,699256,696046,702003,673077,646925,670189,681411,669070,694776,717377,740936,771000,819987,782732,715809,422348,425999,489070,442748,421365,375180,307150,237311,220159,194291,163446,127499,96715,75552,56234,39794,27066,18237,11806,7044,4257,2342,1214,607,592
2028,1,58556177,395784,395016,395291,397330,397254,393779,408926,429606,428796,447169,469913,482026,504179,516753,516726,527742,530160,546010,554238,562110,578426,583285,586100,595468,622123,629082,646404,657983,670562,665723,673772,671291,670218,675335,670350,652916,655270,647283,657331,666035,684602,699681,708348,730847,753738,761939,761323,767374,799943,818893,847203,868397,907893,942144,994137,1005846,986377,953273,919795,900153,874661,867615,671074,823564,766812,741517,711791,690848,686839,691815,662383,635687,657451,667201,653717,677193,697337,718065,744633,788766,749360,681477,399501,399976,455306,408177,384144,337726,272591,207348,189119,163868,135149,103172,76425,58168,42091,28904,19048,12419,7771,4476,2610,1384,692,638
2029,1,58196737,396317,395769,395133,395469,397496,397403,393949,409148,429894,429155,447587,470353,482463,504650,517189,517098,528619,532474,550136,560001,569105,586197,591449,594179,602664,627661,632986,649286,660242,672342,667096,674779,672008,670678,675502,670217,652554,654788,646789,656838,665510,683999,698998,707606,730028,752809,760876,760116,766012,798360,817069,845074,865944,905046,938899,990391,1001693,981897,948497,914698,894649,868782,861224,665634,816264,759319,733521,703327,681808,676974,680934,650988,623721,643874,652041,637336,658461,676022,693751,716571,755493,713809,645015,375361,372659,420132,372498,346186,300099,238493,178368,159746,135714,109548,81677,58956,43630,30639,20387,13001,8193,4949,2750,1546,790,709
