îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,1,61349581,428005,446054,468457,480153,501907,514130,513861,524747,526616,540528,545068,547643,557531,555138,550198,552565,574977,581329,601356,617391,635288,636254,650572,654083,657797,666373,664013,648773,653163,646827,658299,668200,687872,703827,713052,736009,759345,767985,767910,774703,808361,828439,858203,880994,922678,959382,1014419,1028714,1011319,980062,948528,931255,908002,904190,702426,865574,809982,787524,760609,743211,744337,755785,730040,707360,739220,758861,753073,791277,828019,868112,918371,994845,968781,906112,548814,571689,681688,643636,643418,605752,527887,438311,441377,426809,397396,346288,296592,264598,227782,189088,152333,123329,97680,71879,53891,37221,24411,15549,9957,6309,4203,2158,1385,888,483,716
2021,1,61019059,424679,427186,445687,468124,479933,501716,513940,513743,524738,526605,540466,545175,547862,557623,555299,550482,552518,574885,581759,604471,623822,637522,637146,652223,653993,655903,663750,661024,645765,649639,644077,655259,665297,685449,701519,710952,734104,757654,766460,766356,773380,806933,827100,856980,879576,921197,957734,1012455,1026559,1009248,977600,946030,928530,905115,901115,699663,861967,806084,783773,756588,739024,739361,750320,724274,701239,731982,750775,744166,780861,816077,854298,901855,975395,948192,885288,534662,555354,660381,621441,618961,579922,502604,414690,415101,398003,367579,316393,267935,235688,199786,162753,128804,102844,79879,55915,40938,27958,17973,10983,6989,4102,2639,1308,810,500,626
2022,1,60757789,409369,423729,427011,445732,468112,479967,501749,513992,513920,524934,526927,540926,545768,548142,558067,555846,550803,553288,579287,590972,617502,637738,650023,648791,661796,660337,659525,666224,662300,646151,650081,644175,655061,665227,685411,701044,710508,733739,756983,765958,765851,772833,806467,826529,856249,878784,920416,956644,1011046,1024995,1007359,975640,943948,926216,902481,898108,697098,858603,802585,780072,752610,734359,734175,744574,718153,694588,724083,742003,734397,769506,802850,839103,883813,954136,925201,861686,518776,537270,636473,597064,591425,551175,474934,388980,385933,366607,335181,284477,237501,205721,171250,137200,106155,83121,63092,43063,30044,19028,12018,7010,4265,2476,1537,735,438,563
2023,1,60492427,387900,408872,423411,426937,445852,468140,480053,501888,514207,514139,525372,527241,541446,545997,548480,558540,556016,551241,559011,593468,606082,632170,653423,662836,657308,668241,665467,664192,669768,665630,649556,653190,646559,657189,666884,686831,702286,711512,734477,757617,766507,765977,772824,806227,826394,855881,878471,919728,955782,1009851,1023336,1005615,973787,941789,923900,899939,894954,694501,855001,798732,775991,747932,729204,728239,737959,710991,686818,715292,732141,723384,756464,787981,822112,863964,930516,900267,835869,501621,517656,610023,569873,561579,520197,444937,361404,354751,333644,301011,251898,206450,175664,143725,112784,84838,64876,47908,30941,20960,12975,7985,4531,2872,1608,963,444,559
2024,1,60383002,397057,393456,408624,429231,428105,446209,468678,480556,502537,514994,514962,526048,528037,542056,546613,549119,559387,558791,557556,564638,591148,600321,621903,638705,656257,655146,665737,665105,665569,672027,668233,651897,655359,648309,659085,668210,687022,702292,711182,734031,757329,765903,765676,772248,805615,825400,854746,877057,918037,953922,1007938,1021285,1003051,970994,938620,920455,896420,891421,691461,850890,794797,771288,743301,724613,723907,733010,705849,681568,709549,725240,716211,748525,778577,810934,851925,915883,884972,820764,492325,506458,595145,553371,543057,500612,426138,344066,335293,312310,278499,231184,187387,157211,126441,97392,72589,53937,38718,25687,17285,10604,6136,3428,1915,1054,608,584
2025,1,60136873,397305,397087,393603,408810,429399,428261,446386,468911,480857,502918,515438,515425,526508,528525,542507,547002,550016,561716,562934,563345,571660,598933,608509,630028,645948,661821,659068,668641,667396,667389,673433,669283,652668,655873,648542,659013,667896,686586,701838,710740,733556,756780,765284,765014,771536,804800,824453,853628,875766,916523,952142,1005807,1018843,1000368,968127,935575,917175,892902,887562,688112,846386,790168,766365,738103,719052,717789,726173,698580,673818,700654,715234,705365,736105,764415,794730,833171,893620,861187,796355,476093,487868,570669,527732,514616,470933,397520,317870,306336,281738,247678,202375,161237,132782,104668,78870,57381,41518,28956,18628,12136,7199,4023,2168,1167,619,650
2026,1,59878294,395444,397339,397234,393796,408984,429556,428439,446618,469212,481235,503358,515902,515882,526995,528974,542896,547899,552350,565859,568718,570374,579477,607125,616632,637274,651520,665742,661981,670933,669220,668803,674485,670048,653188,656106,648481,658710,667477,686147,701408,710286,733032,756178,764633,764320,770767,803891,823389,852389,874340,914834,950151,1003434,1016159,997460,965032,932288,913627,889088,883367,684487,841529,785193,761078,732513,713053,711179,718793,690740,665476,691105,704531,693794,722866,749312,777434,813150,869878,835868,770402,458823,468049,544563,500446,484494,439704,367630,290753,276708,250919,217150,174422,136422,110121,84931,62480,44271,31126,21052,13113,8261,4732,2551,1325,687,694
2027,1,59609635,395293,395483,397488,397427,393974,409143,429735,428671,446917,469587,481670,503818,516359,516366,527445,529362,543795,550236,556504,571642,575740,578196,587682,615247,623875,642850,655449,668654,664283,672757,670636,669862,675251,670562,653427,656046,648190,658302,667054,685732,700967,709784,732456,755545,763952,763570,769907,802868,822210,851021,872749,912944,947932,1000823,1013246,994318,961692,928732,909779,884940,878817,680584,836306,779849,755392,726482,706570,704042,710830,682296,656514,680884,693105,681455,708743,733187,758963,791791,844593,808936,742780,440409,446904,516762,471522,452766,407049,336650,262967,246785,220327,187463,147832,113346,89531,67423,48315,33270,22687,14858,8950,5445,3009,1563,782,759
2028,1,59332461,396055,395335,395636,397682,397605,394135,409323,429967,428968,447289,470019,482123,504272,516845,516814,527833,530261,546135,554395,562304,578661,583558,586404,595803,622490,629457,646788,658370,670955,666116,674174,671698,670634,675766,670795,653373,655754,647793,657890,666655,685306,700478,709233,731851,754882,763214,762730,768938,801733,820907,849492,870966,910835,945490,997991,1010100,990926,958075,924873,905593,880440,873906,676391,830693,774099,749255,719963,699569,696340,702250,673220,646917,669966,680913,668287,693659,715963,739251,769033,817685,780265,713325,420757,424373,487267,441024,419551,373161,304857,234853,217023,190512,159156,123049,92331,71222,52254,36396,24311,16053,10167,5914,3471,1849,925,849
2029,1,59047185,396601,396101,395490,395832,397861,397767,394315,409555,430265,429337,447715,470469,482569,504753,517293,517202,528734,532606,550300,560202,569344,586478,591766,594527,603043,628074,633408,649719,660680,672787,667542,675237,672473,671156,676000,670735,653088,655358,647392,657501,666246,684835,699941,708655,731218,754165,762389,761785,767865,800480,819450,847777,868973,908513,942840,994930,1006701,987252,954151,920674,901049,875583,868623,671890,824652,767892,742617,712919,692010,688037,693022,663494,636660,658311,667900,654221,677544,697574,718239,744804,789033,749687,681882,399806,400450,456136,409063,385040,338333,272634,206836,187952,162016,132710,100425,73600,55320,39456,26660,17246,11013,6737,3780,2138,1097,982
