îNóÓ,íjê´,èóê´
0,0.49839595083424700000000,0.49618345014139900000000
1,0.50457233859216200000000,0.50290283478297900000000
2,0.50356924332041600000000,0.50158029805051600000000
3,0.50349316545482300000000,0.50152492463016200000000
4,0.50500635934824200000000,0.50041104553119700000000
5,0.50715359752532700000000,0.50650907247513000000000
6,0.50823535854762000000000,0.50521218615097700000000
7,0.50882640258969100000000,0.50578133806136100000000
8,0.50750489449641100000000,0.50292743674877600000000
9,0.50566627806876100000000,0.50367290231684400000000
10,0.50719453642994600000000,0.50313555046761600000000
11,0.50293664875258900000000,0.49990929722719700000000
12,0.50405441696240400000000,0.50303434124697600000000
13,0.50671541831082800000000,0.50275375819888400000000
14,0.51224795836917900000000,0.50959980829139700000000
15,0.49880824269969000000000,0.49658372043493500000000
16,0.50559928049245700000000,0.50186741794161200000000
17,0.50824727630366900000000,0.50414228724622600000000
18,0.51139002122027600000000,0.50542327193376500000000
19,0.50990376111245500000000,0.50454270139309500000000
20,0.51064557802918300000000,0.50721630932626400000000
21,0.50882458596459400000000,0.50747493667211500000000
22,0.51351742893925000000000,0.51271020994139800000000
23,0.51016598158757400000000,0.50961052789646800000000
24,0.51768845411995500000000,0.51611368323762700000000
25,0.50349920409941500000000,0.50288252591748500000000
26,0.51847522524345700000000,0.51748522292607900000000
27,0.50978561554784500000000,0.50781870328286300000000
28,0.50878472441685000000000,0.50689438835914200000000
29,0.51055214743886900000000,0.50862890310897300000000
30,0.50432114198538400000000,0.50347867107837200000000
31,0.50044297636365600000000,0.49726076543425400000000
32,0.51408041893554800000000,0.51208541835466500000000
33,0.50788000984540600000000,0.50445766247757500000000
34,0.50426058034444500000000,0.50199402018748700000000
35,0.50687119095497800000000,0.50373180493334800000000
36,0.50733582247499600000000,0.50499787413193700000000
37,0.51192441704636800000000,0.50994218988336600000000
38,0.51490742451877600000000,0.51239042964962100000000
39,0.51196183667624800000000,0.50905071874152400000000
40,0.50337034704161200000000,0.49963871192043100000000
41,0.50665531843196100000000,0.50443127157346300000000
42,0.51231169141593700000000,0.51009211893046500000000
43,0.51637335035045400000000,0.51411039296947900000000
44,0.50655808430107100000000,0.50375199468462700000000
45,0.50020269005535200000000,0.49740209205978600000000
46,0.50604938908913500000000,0.50371496029013500000000
47,0.50685214537527600000000,0.50495369776024700000000
48,0.50889282500553500000000,0.50708185203864300000000
49,0.51252694982508800000000,0.50920111935190500000000
50,0.50880047843054000000000,0.50549806269158500000000
51,0.49876101898741200000000,0.49605104358938000000000
52,0.50802704035691800000000,0.50484036068952300000000
53,0.51164259538203900000000,0.51034367378248300000000
54,0.45432698992069100000000,0.45129382698107000000000
55,0.50116076472794400000000,0.49977915350838900000000
56,0.49893132054805600000000,0.49826467158469000000000
57,0.48875606380122500000000,0.48689463433145000000000
58,0.48548947159048800000000,0.48453854170275900000000
59,0.48831898144828100000000,0.48597818557205100000000
60,0.48383550410166500000000,0.48245106300495100000000
61,0.47290963921497500000000,0.47058683477464900000000
62,0.48784145538129500000000,0.48597161749856100000000
63,0.47439355438667000000000,0.47342079288782700000000
64,0.47466151940944900000000,0.47324953541605200000000
65,0.47054271508536500000000,0.46832599920742400000000
66,0.46881128149970900000000,0.46718452308826700000000
67,0.47103612825841900000000,0.46970190910512100000000
68,0.46631010758532100000000,0.46631773080613400000000
69,0.45330715916830300000000,0.45142770745566700000000
70,0.45822863692509700000000,0.45675574412929200000000
71,0.47360619067026200000000,0.47166012926438000000000
72,0.46417621412722100000000,0.46283702260510300000000
73,0.50804655118875600000000,0.50423768463344100000000
74,0.53462780287375200000000,0.52877576213823000000000
75,0.44580639071969100000000,0.44219730015936500000000
76,0.44960426967868500000000,0.44666581119808400000000
77,0.46998043782610200000000,0.46752207748460200000000
78,0.44519378791279300000000,0.44419374247894100000000
79,0.46694889079873200000000,0.46293660223756800000000
80,0.46335869925211600000000,0.46138780241319000000000
81,0.45466896345464100000000,0.44824733757683700000000
82,0.41871404001961600000000,0.41121726534398900000000
83,0.45866861566883500000000,0.45205060706033900000000
84,0.44005799725356900000000,0.43134986575902200000000
85,0.45992786135303900000000,0.44906140998364500000000
86,0.45359042052314600000000,0.44157483953071100000000
87,0.44102012597941300000000,0.42955874090674600000000
88,0.46638522333242600000000,0.45564154470078900000000
89,0.45162625887869100000000,0.44030193117327800000000
90,0.45834388452772900000000,0.44837125685794200000000
91,0.44771607887064100000000,0.43540450814812900000000
92,0.45824101523898700000000,0.45146824988274600000000
93,0.45324168363883200000000,0.44116978961765800000000
94,0.46504869026949500000000,0.44805244124022100000000
95,0.46820540835837200000000,0.45145376298939900000000
96,0.44643005568946900000000,0.42979948482246600000000
97,0.46053145760062500000000,0.44327565209245100000000
98,0.45419420437214000000000,0.44221059896117100000000
99,0.44487117938870200000000,0.45303967965052800000000
100,0.45583293326932300000000,0.46465226440823900000000
101,0.45382462686567200000000,0.43686531266702300000000
102,0.44049346879535600000000,0.45938722916865500000000
103,0.45795454545454500000000,0.44878580323785800000000
104,0.43892339544513500000000,0.45144481288488900000000
105,0.43496503496503500000000,0.46068965517241400000000
