îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,1,61349581,428005,446054,468457,480153,501907,514130,513861,524747,526616,540528,545068,547643,557531,555138,550198,552565,574977,581329,601356,617391,635288,636254,650572,654083,657797,666373,664013,648773,653163,646827,658299,668200,687872,703827,713052,736009,759345,767985,767910,774703,808361,828439,858203,880994,922678,959382,1014419,1028714,1011319,980062,948528,931255,908002,904190,702426,865574,809982,787524,760609,743211,744337,755785,730040,707360,739220,758861,753073,791277,828019,868112,918371,994845,968781,906112,548814,571689,681688,643636,643418,605752,527887,438311,441377,426809,397396,346288,296592,264598,227782,189088,152333,123329,97680,71879,53891,37221,24411,15549,9957,6309,4203,2158,1385,888,483,716
2021,1,61019059,424679,427186,445687,468124,479933,501716,513940,513743,524738,526605,540466,545175,547862,557623,555299,550482,552518,574885,581759,604471,623822,637522,637146,652223,653993,655903,663750,661024,645765,649639,644077,655259,665297,685449,701519,710952,734104,757654,766460,766356,773380,806933,827100,856980,879576,921197,957734,1012455,1026559,1009248,977600,946030,928530,905115,901115,699663,861967,806084,783773,756588,739024,739361,750320,724274,701239,731982,750775,744166,780861,816077,854298,901855,975395,948192,885288,534662,555354,660381,621441,618961,579922,502604,414690,415101,398003,367579,316393,267935,235688,199786,162753,128804,102844,79879,55915,40938,27958,17973,10983,6989,4102,2639,1308,810,500,626
2022,1,60757789,409369,423729,427011,445732,468112,479967,501749,513992,513920,524934,526927,540926,545768,548142,558067,555846,550803,553288,579287,590972,617502,637738,650023,648791,661796,660337,659525,666224,662300,646151,650081,644175,655061,665227,685411,701044,710508,733739,756983,765958,765851,772833,806467,826529,856249,878784,920416,956644,1011046,1024995,1007359,975640,943948,926216,902481,898108,697098,858603,802585,780072,752610,734359,734175,744574,718153,694588,724083,742003,734397,769506,802850,839103,883813,954136,925201,861686,518776,537270,636473,597064,591425,551175,474934,388980,385933,366607,335181,284477,237501,205721,171250,137200,106155,83121,63092,43063,30044,19028,12018,7010,4265,2476,1537,735,438,563
2023,1,60492427,387900,408872,423411,426937,445852,468140,480053,501888,514207,514139,525372,527241,541446,545997,548480,558540,556016,551241,559011,593468,606082,632170,653423,662836,657308,668241,665467,664192,669768,665630,649556,653190,646559,657189,666884,686831,702286,711512,734477,757617,766507,765977,772824,806227,826394,855881,878471,919728,955782,1009851,1023336,1005615,973787,941789,923900,899939,894954,694501,855001,798732,775991,747932,729204,728239,737959,710991,686818,715292,732141,723384,756464,787981,822112,863964,930516,900267,835869,501621,517656,610023,569873,561579,520197,444937,361404,354751,333644,301011,251898,206450,175664,143725,112784,84838,64876,47908,30941,20960,12975,7985,4531,2872,1608,963,444,559
2024,1,60084829,396203,392923,408282,428755,427660,445958,468502,480347,502254,514651,514590,525680,527698,541718,546236,548707,558672,556842,553078,557138,581409,589661,611446,629082,647783,648211,660653,661606,662842,669596,666154,650254,654107,647343,658342,667719,686810,702266,711194,733967,757162,765696,765462,772014,805330,825063,854377,876663,917577,953375,1007280,1020576,1002323,970251,937811,919545,895421,890316,690579,849679,793553,769931,741816,722987,722105,731001,703712,679273,706904,722281,713054,744987,774605,806425,846713,909671,878357,814020,487891,501346,588244,545969,534629,491700,417579,336299,326764,303375,269586,223013,180178,150716,120887,92845,68990,51076,36506,24122,16184,9905,5723,3194,1783,981,566,546
2025,1,59742705,395835,396024,392826,408255,428768,427701,446021,468605,480498,502466,514917,514882,525978,527998,541970,546434,549088,559559,558277,554991,559500,584223,592929,614907,632173,650014,649594,661534,662215,663270,669879,666325,650333,654074,647182,658035,667299,686339,701788,710716,733448,756570,765030,764739,771230,804432,824031,853166,875260,915924,951439,1004981,1017957,999451,967170,934525,916000,891626,886157,686994,844817,788543,764586,736165,716935,715442,723544,695777,670820,697223,711422,701312,731555,759290,788892,826417,885592,852664,787673,470351,481206,561681,518154,503849,459690,386813,308236,295889,270980,237175,192972,153142,125653,98695,74077,53665,38644,26812,17169,11148,6595,3680,1981,1066,565,595
2026,1,59390327,393270,395661,395927,392808,408274,428810,427766,446124,468756,480706,502729,515210,515176,526278,528248,542169,546816,549980,560995,560185,557360,562349,587497,596391,618004,634414,651398,650487,662146,662647,663563,670052,666397,650307,653913,646887,657627,666847,685878,701323,710220,732883,755922,764318,763974,770383,803441,822880,851820,873705,914090,949295,1002436,1015080,996322,963828,930971,912170,887514,881634,683099,839554,783138,758834,730080,710401,708232,715487,687224,661739,686859,699834,688801,717245,742960,770188,804781,859969,825366,759671,451674,459736,533412,488683,471441,426222,354913,279446,264644,238745,205543,164284,127896,102775,78900,57745,40696,28450,19131,11857,7442,4251,2288,1187,616,624
2027,1,59029830,392312,393101,395567,395909,392831,408319,428876,427870,446274,468962,480964,503018,515505,515474,526528,528445,542553,547711,551428,562901,562548,560215,565638,590960,599488,620253,635809,652292,651110,662580,662943,663744,670126,666365,650153,653618,646492,657187,666404,685429,700841,709681,732264,755231,763566,763148,769449,802336,821600,850329,871979,912057,946920,999639,1011945,992925,960212,927128,908018,883042,876718,678885,833873,777321,752641,723508,703330,700441,706797,678030,652012,675791,687482,675469,701984,725534,750241,781745,832732,796344,729848,431759,436875,503437,457622,437519,391479,322140,250262,233493,207218,175267,137434,104798,82320,61633,43888,30031,20349,13244,7935,4809,2650,1375,687,668
2028,1,58662514,392161,392148,393012,395550,395932,392878,408386,428980,428018,446477,469218,481246,503309,515803,515722,526727,528830,543451,549164,553353,565262,565398,563508,569101,594059,601744,621659,636715,652917,651556,662879,663128,663825,670096,666204,649865,653224,646065,656756,665974,684965,700316,709090,731604,754499,762754,762236,768404,801106,820181,848672,870064,909804,944310,996591,1008541,989249,956300,922963,903501,878178,871391,674339,827757,771055,745949,716394,695684,692034,697450,668174,641617,663988,674313,661248,685694,706943,728994,757247,803765,765430,698040,410542,412613,471811,425075,402262,355735,288863,221110,202961,176974,146867,112812,84100,64437,46946,32462,21531,14122,8886,5141,3005,1596,798,733
2029,1,58288526,391682,392001,392061,392997,395575,395980,392946,408490,429128,428218,446726,469496,481530,503604,516053,515920,527113,529734,544910,551096,555734,568111,568691,566973,572199,596320,603167,622578,637352,653364,651867,663067,663214,663803,669937,665910,649478,652797,645646,656337,665529,684459,699741,708459,730906,753709,761858,761216,767242,799742,818604,846832,867940,907325,941463,993281,1004855,985271,952059,918428,898586,872906,865639,669444,821167,764282,738703,708699,687432,682986,687424,657635,630527,651400,660263,646063,668308,687131,706386,731185,772905,732450,664136,388008,386991,438637,391207,365941,319383,255561,192478,173607,148540,120765,90701,65963,49188,34803,23329,14979,9498,5770,3220,1815,929,831
