îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2030,2,61358060,322347,324206,325901,327524,329940,333803,335914,334956,349007,377942,411558,428209,449605,462145,480415,493304,492135,508183,515162,533298,545954,556759,573880,576292,577423,579729,598947,598344,613016,624973,634815,633204,638728,635542,633376,638630,633346,616702,620948,616936,629408,640291,657717,675768,684237,711391,735151,744766,745490,749138,781624,799003,828661,848023,886304,922194,972367,991532,970403,942410,912915,898616,876054,872474,682457,837826,783901,762767,736422,720143,723846,733694,711766,688663,719559,736642,732629,773071,808418,845056,896455,964475,936330,865277,527164,550055,646292,594997,577851,524540,441268,349204,335273,303415,262837,212552,166167,133837,101448,73915,50957,34899,22769,13280,7976,8930
2031,2,60967406,320301,322505,324510,326229,327796,330162,334044,336218,335324,349419,378385,412016,428694,450137,462509,480684,494378,495247,513838,522947,542087,554532,564338,580203,581117,580783,582108,600882,600008,614360,626000,635607,633842,639241,635909,633579,638714,633429,616855,621145,617139,629576,640397,657746,675711,684078,711097,734718,744196,744791,748306,780618,797839,827328,846555,884678,920395,970337,989293,968027,939922,910334,895917,873253,869484,679914,834460,780472,759125,732572,716006,719276,728602,706334,682863,712828,728932,723998,762764,796154,830386,878567,942290,911452,838664,508352,527249,615142,561658,540218,484879,402639,313966,296482,263389,223511,176657,134642,105447,77511,54624,36336,23961,15025,8409,9832
2032,2,60568001,317871,320463,322812,324840,326501,328019,330404,334349,336586,335734,349854,378833,412495,429218,450500,462779,481759,497489,500923,521627,531762,550670,562111,570653,585030,584475,583162,584067,602551,601369,615396,626797,636247,634359,639610,636113,633668,638797,633578,617057,621351,617315,629690,640436,657701,675561,683805,710687,734165,743508,743974,747353,779491,796564,825907,845012,882965,918488,968166,986899,965501,937296,907630,893085,870293,866304,677199,830857,776792,755206,728416,711540,714342,723106,700456,676554,705464,720459,714478,751357,782534,814060,858655,917622,883830,809176,487579,502198,581155,525577,499911,442970,362497,278051,257785,224372,186116,143434,106315,80754,57422,39051,25014,15854,9540,10629
2033,2,60159607,314909,318037,320772,323142,325112,326724,328261,330708,334717,336997,336165,350292,379298,413014,429579,450771,463855,484877,503163,508746,530447,540359,558250,568425,575479,588386,586851,585122,585756,603916,602420,616200,627442,636765,634732,639814,636203,633756,638947,633777,617266,621528,617436,629736,640402,657564,675299,683421,710161,733495,742703,743036,746281,778256,795205,824415,843387,881149,916447,965844,984352,962835,934543,904793,890093,867146,862905,674298,826990,772832,750975,723928,706717,709016,717161,694065,669653,697373,711116,703943,738688,767373,795879,836503,890216,853202,776584,464738,474832,544323,486874,457245,399333,321496,242141,219974,187179,151417,113501,81606,59970,41155,26953,16594,10093,11789
2034,2,59742254,311657,315079,318349,321104,323416,325336,326967,328566,331077,335127,337428,336599,350747,379806,413373,429851,451848,466983,490571,510981,517597,539047,547936,564560,573251,578844,590760,588808,586812,587139,604969,603234,616850,627964,637139,634941,639906,636293,633911,639147,633983,617447,621651,617492,629710,640278,657318,674927,682924,709522,732710,741777,741981,745105,776938,793777,822842,841665,879206,914264,963374,981663,960039,931656,901795,886911,863782,859268,671186,822827,768556,746404,719078,701508,703254,710696,687075,662072,688450,700774,692240,724581,750481,775640,811875,859805,819322,740711,439758,445139,504759,445839,412735,354669,280409,206972,183845,152582,120072,87319,60746,43088,28477,17926,10592,12814
2035,2,59316157,308252,311832,315395,318683,321379,323640,325579,327272,328934,331486,335558,337862,337048,351243,380161,413646,430930,454982,472705,498421,519829,526213,546625,554237,569386,576619,581230,592714,590497,588196,588206,605785,603891,617378,628343,637349,635037,639996,636449,634115,639354,634162,617574,621708,617475,629595,640046,656964,674443,682317,708771,731806,740734,740823,743851,775554,792273,821175,839821,877127,911941,960765,978844,957106,928604,898607,883511,860182,855364,667839,818331,763933,741462,713838,695871,696989,703627,679397,653713,678574,689286,679207,708857,731666,753127,784531,826140,781995,701435,412620,413199,462741,402949,367083,309813,240077,173288,150154,121247,92579,65152,43753,29890,18989,11472,13727
2036,2,58881614,304728,308431,312151,315730,318958,321604,323883,325884,327640,329343,331917,335992,338311,337539,351595,380435,414727,434075,460723,480598,507300,528443,533788,552925,559061,572758,579010,583197,594401,591879,589265,589034,606444,604425,617762,628559,637447,635132,640154,636655,634326,639534,634287,617635,621694,617371,629374,639708,656500,673851,681603,707905,730787,739590,739587,742533,774096,790679,819390,837848,874914,909489,958031,975886,954006,925359,895201,879871,856319,851161,664225,813469,758934,736121,708168,689744,690140,695864,670930,644460,667602,676490,664674,691335,710725,728114,754237,789014,741083,658715,383390,379223,418743,358868,321135,265682,201359,141801,119562,93690,69237,47039,30427,19982,12183,14810
2037,2,58439028,301144,304912,308753,312488,316006,319184,321847,324189,326253,328049,329773,332349,336440,338803,337889,351871,381518,417879,439848,468646,489517,515930,536019,540077,557749,562442,575156,580980,584894,595781,592947,590093,589700,606978,604816,617984,628662,637544,635294,640361,636868,634510,639660,634346,617626,621592,617161,629048,639263,655931,673153,680777,706926,729667,738367,738288,741145,772550,788973,817481,835749,872579,906919,955162,972759,950710,921891,891555,875965,852160,846619,660318,808208,753529,730340,702004,683048,682620,687303,661559,634181,655379,662216,648471,671821,687444,700382,720798,748279,696531,612636,352247,343583,373435,314408,275830,223219,165079,113138,92587,70227,50108,32793,20392,12853,15897
2038,2,57988889,297522,301331,305237,309092,312765,316233,319428,322153,324557,326662,328479,330204,332796,336931,339154,338166,352956,384686,423678,447823,477593,498168,523502,542311,544898,561133,564854,577132,582681,586284,596848,593775,590761,590242,607370,605046,618095,628765,637707,635505,640576,637054,634641,639720,634334,617529,621385,616849,628617,638716,655259,672345,679842,705849,728470,737082,736920,739675,770895,787146,815448,833533,870131,904224,952131,969434,947187,918179,887642,871760,847665,841705,656089,802517,747676,724055,695269,675696,674328,677829,651148,622726,641739,646293,630416,650113,661614,669743,684071,703869,648414,563470,319522,306809,327640,270474,232138,183336,131971,87797,69556,50944,35017,22032,13149,16962
2039,2,57531795,293861,297714,301660,305578,309370,312992,316477,319734,322521,324966,327091,328910,330650,333285,337282,339431,339252,356138,390537,431692,456819,486258,505736,529783,547133,548292,563548,566844,578838,584074,587359,597676,594443,591303,590641,607602,605166,618204,628934,637920,635724,640763,637187,634705,639709,634234,617328,621075,616433,628085,638068,654479,671429,678811,704698,727213,735728,735470,738099,769124,785202,813303,831212,867567,901378,948908,965881,943416,914195,883429,867215,842800,836383,651514,796353,741315,717190,687876,667590,665151,667301,639544,609940,626516,628541,610318,626010,633052,636059,643985,655845,596996,511717,285691,269564,282289,228010,191005,146852,102626,66104,50574,35687,23584,14242,17787
