îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,2,64796518,409126,425504,446610,458758,476786,489602,487651,500926,502649,513465,517816,520562,530779,527345,523987,524155,544825,548945,570651,590112,606718,610829,621512,622835,624071,631637,628011,612692,618013,614649,627606,638891,656763,675243,684020,711507,735711,745911,747373,751921,785600,804214,835346,856197,896212,933904,986180,1007110,987144,960220,931708,918600,897008,894878,701484,862599,808886,788940,763735,749072,755430,768620,748855,728040,764705,787569,788835,839130,885623,935775,1005434,1098181,1085163,1023795,639054,686501,834870,800016,814920,782135,702099,599611,628598,629361,612336,564951,513071,489221,447622,402847,350475,309423,267062,210549,174069,135592,100536,75866,55873,38994,28264,15144,10572,6464,4245,5818
2021,2,64483231,405212,408410,425197,446424,458490,476583,489404,487580,500856,502636,513560,518030,520791,530881,527449,524238,523853,544504,549387,573609,596780,607116,609961,621725,622657,622247,629212,625310,610460,616108,612842,625640,636950,655053,673533,682469,710022,734584,744945,746331,751023,784691,803263,834418,855337,895203,932861,985002,1005680,985729,958601,930217,916989,895223,893069,700033,860604,806870,786803,761572,746822,753012,765914,746243,725174,761537,784042,784916,834434,880230,929630,998270,1089358,1075326,1013888,631970,677995,823342,787686,800558,766402,685788,583638,609376,607474,587359,538380,484947,458576,415258,369090,316077,275067,234057,179044,145035,109027,79019,58014,42010,28356,19823,10224,6862,4026,5728
2022,2,64189000,388517,404419,408302,425295,446531,458483,476564,489516,487712,501155,502830,513908,518615,521127,531318,527791,524082,524179,548837,557242,583877,605161,613773,616908,627722,626246,624075,630295,626028,610884,615990,612770,625369,636775,654813,673322,682253,709645,734011,744501,745788,750789,784330,802892,834106,854942,894648,932104,984212,1004603,984469,957341,928670,915581,893512,891390,698510,858772,804907,784703,759501,744499,750568,762997,743216,722093,758006,780143,780486,829415,874496,922799,990351,1079590,1064510,1002543,623937,668284,810292,773266,783830,747973,666681,564985,586951,581720,558614,507893,453183,423947,379023,332021,280017,239015,199012,147009,116007,85005,59004,42003,29385,19057,12818,6352,4091,5303
2023,2,63859450,368838,388004,404192,408197,425273,446566,458610,476818,489563,487953,501468,503096,514449,518875,521408,531558,527583,524058,529933,562142,569423,594936,615618,621875,622235,631326,628645,626339,631839,627352,612221,616936,613873,626210,637215,655228,673408,682270,709553,734014,744342,745577,750509,783909,802491,833479,854186,893797,931051,982820,1002995,982826,955729,926734,913555,891477,889252,696766,856449,802405,781992,756725,741759,747601,759827,739719,718355,753985,775759,775636,823601,867907,914895,981072,1068471,1051993,989581,614658,657260,794896,756661,764664,727210,645224,543475,561160,552328,525871,473599,417892,385469,339533,292597,241667,202721,165772,116839,88878,62913,42941,28324,19601,12232,7905,3759,5075
2024,2,63901988,377492,374166,388738,408468,409600,425977,447090,459383,477640,490674,488903,502323,504164,515119,519389,521907,532602,531764,533677,540363,566004,572020,592672,609700,623386,624312,631541,629715,628806,635208,630850,614875,619633,615936,628614,639568,657023,675168,683857,711424,735743,745979,747376,751766,785192,803517,834239,854631,894104,931179,982694,1002930,982431,954991,926043,912522,890633,888051,695682,855042,801234,780938,755424,740363,746054,758367,738065,716673,751803,773121,772887,820425,863939,910586,975580,1062087,1045649,982432,610324,651640,786701,747676,753787,714865,632960,531699,546899,535554,507423,453936,397329,362894,316093,268477,218984,180131,143321,103385,77756,54437,35849,23786,15255,9190,5705,5808
2025,2,63667563,377726,377616,374444,389044,408726,409818,426215,447398,459765,478076,491148,489389,502839,504717,515491,519657,522981,535696,537380,541413,549132,574555,579612,599036,614545,626707,626622,633427,631342,630137,636228,631643,615523,620156,616315,628822,639655,657100,675306,684042,711606,735887,746062,747385,751693,785000,803188,833760,853997,893292,930181,981478,1001526,980908,953390,924387,910780,888809,886081,693981,852822,799003,778631,753054,737877,743355,755396,734923,713345,747985,768806,768141,814886,857533,903151,966747,1051340,1033742,969777,601385,640726,771554,731072,734447,693634,611147,510394,521403,506508,475411,420647,363537,327252,280435,233889,186941,150341,116658,81852,59715,40445,25705,16424,10124,5852,6725
2026,2,63418968,375957,377854,377893,374756,389306,408945,410057,426523,447779,460198,478547,491635,489900,503392,505088,515760,520731,526079,541308,545108,550182,557707,582146,585957,603880,617871,629020,628518,635054,632673,631163,637021,632287,616049,620535,616530,628917,639743,657248,675496,684236,711762,735979,746077,747318,751524,784690,802738,833152,853233,892347,929042,980120,999994,979286,951708,922644,908938,886860,883975,692172,850483,796672,776220,750557,735239,740478,752224,731559,709771,743868,764150,763022,808921,850622,895087,957107,1039551,1020636,955804,591478,628595,754707,712628,712998,670127,587063,486986,493573,475049,441075,385393,328326,290815,244747,200056,156355,122652,92588,63026,44490,29085,17801,10932,6467,7371
2027,2,63158430,375811,376088,378133,378206,375021,389526,409184,410365,426902,448211,460665,479030,492147,490449,503763,505358,516835,523832,531707,549029,553871,558758,565292,588487,590795,607214,620191,630920,630154,636385,633701,631962,637666,632810,616432,620751,616634,629013,639900,657448,675697,684405,711866,736003,746018,747157,751239,784260,802164,832419,852343,891267,927768,978636,998362,977581,949937,920801,906971,884777,881737,690270,848039,794237,773680,747909,732430,737409,748828,727945,705917,739424,759126,757509,802487,843130,886288,946535,1026575,1006162,940316,580465,615098,735983,692159,689232,644151,560573,461403,463391,441254,404644,348579,292245,254256,209746,167673,127847,97582,71479,47086,32085,20202,11885,7004,8135
2028,2,62887470,376536,375946,376371,378446,378471,375243,389767,409492,410743,427330,448674,461142,479537,492697,490818,504033,506434,519938,529464,539453,557785,562445,566344,571615,593324,594145,609548,622096,632559,631493,637413,634501,632611,638190,633190,616653,620856,616737,629177,640109,657658,675872,684522,711904,735953,745864,746881,750839,783710,801469,831562,851322,890056,926375,977055,996646,975785,948064,918832,904869,882563,879378,688286,845483,791672,770987,745089,729432,734123,745181,724047,701755,734626,753712,751561,795513,834959,876642,934899,1012245,990120,923097,568206,600087,715189,669464,662948,615549,531585,433619,430917,405334,366522,310767,255951,218307,176156,137406,101959,75527,53546,34054,22351,13528,7638,8923
2029,2,62606538,377053,376673,376230,376685,378712,378693,375485,390075,409870,411168,427788,449147,461642,480082,493067,491090,505110,509543,525578,537217,548232,566356,570033,572668,576447,596677,596504,611467,623742,633900,632527,638213,635150,633139,638570,633406,616763,620960,616909,629392,640327,657842,675996,684574,711869,735810,745596,746491,750322,783041,800654,830577,850176,888730,924888,975391,994837,973885,946063,916728,902633,880229,876912,686216,842791,788952,768118,742080,726225,730595,741246,719837,697261,729454,747870,745115,787910,826004,866028,922051,996362,972283,903925,554565,583406,692118,644344,633978,584214,500062,403683,396341,367669,327276,272639,220171,183717,144673,109840,79113,56730,38834,23791,15012,8720,9786
2030,2,62315820,377123,377193,376959,376546,376952,378934,378935,375793,390451,410295,411622,428254,449643,462181,480451,493338,492167,508220,515201,533342,546003,556814,573946,576361,577502,579816,599041,598446,613123,625088,634937,633332,638864,635680,633523,638787,633511,616872,621133,617131,629616,640519,657975,676053,684554,711742,735555,745215,745985,749691,782255,799716,829470,848919,887315,923325,973638,992924,971856,943925,914490,900275,877788,874333,684038,839936,786054,765057,738860,722781,726789,736995,715289,692413,723872,741540,738091,779581,816151,854307,907809,978700,952416,882578,539396,564886,666562,616630,602203,550093,466047,371753,360012,328805,287606,234956,185654,151207,115918,85441,59581,41257,27208,16025,9704,10975
2031,2,62015389,376688,377266,377480,377275,376813,377175,379177,379243,376167,390873,410749,412083,428742,450178,462548,480723,494416,495285,513881,522992,542139,554589,564403,580278,581196,580871,582206,600988,600123,614480,626130,635744,633987,639394,636065,633745,638892,633616,617048,621356,617362,629815,640660,658043,676041,684444,711505,735188,744719,745367,748949,781349,798659,828255,847576,885827,921677,971784,990880,969688,941651,912129,897809,875235,871616,681733,836893,782962,761782,735403,719065,722675,732400,710380,687180,717824,734644,730397,770417,805271,841315,891970,959021,930284,858826,522545,544357,638340,586198,567559,513222,429707,338139,322445,289429,248301,198508,153125,121430,90390,64514,43449,28988,18380,10390,12301
2032,2,61705188,375666,376833,377555,377797,377543,377037,377418,379485,379618,376586,391321,411209,412564,429269,450544,462822,481803,497533,500967,521678,531815,550731,562178,570727,585115,584565,583262,584176,602668,601497,615530,626942,636400,634521,639781,636288,633855,638998,633789,617276,621589,617568,629962,640737,658041,675939,684227,711160,734707,744111,744638,748090,780326,797497,826956,846165,884259,919934,969802,988696,967381,939250,909659,895230,872547,868736,679279,833647,779655,758266,731673,715049,718227,727438,705079,681512,711237,727093,721936,760300,793212,826866,874319,937089,905644,832420,503851,521665,607315,552977,530070,473766,391376,303304,284292,250318,210187,164070,123248,94918,68426,47173,30613,19638,11951,13524
