îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,2,64796518,409126,425504,446610,458758,476786,489602,487651,500926,502649,513465,517816,520562,530779,527345,523987,524155,544825,548945,570651,590112,606718,610829,621512,622835,624071,631637,628011,612692,618013,614649,627606,638891,656763,675243,684020,711507,735711,745911,747373,751921,785600,804214,835346,856197,896212,933904,986180,1007110,987144,960220,931708,918600,897008,894878,701484,862599,808886,788940,763735,749072,755430,768620,748855,728040,764705,787569,788835,839130,885623,935775,1005434,1098181,1085163,1023795,639054,686501,834870,800016,814920,782135,702099,599611,628598,629361,612336,564951,513071,489221,447622,402847,350475,309423,267062,210549,174069,135592,100536,75866,55873,38994,28264,15144,10572,6464,4245,5818
2021,2,64483231,405212,408410,425197,446424,458490,476583,489404,487580,500856,502636,513560,518030,520791,530881,527449,524238,523853,544504,549387,573609,596780,607116,609961,621725,622657,622247,629212,625310,610460,616108,612842,625640,636950,655053,673533,682469,710022,734584,744945,746331,751023,784691,803263,834418,855337,895203,932861,985002,1005680,985729,958601,930217,916989,895223,893069,700033,860604,806870,786803,761572,746822,753012,765914,746243,725174,761537,784042,784916,834434,880230,929630,998270,1089358,1075326,1013888,631970,677995,823342,787686,800558,766402,685788,583638,609376,607474,587359,538380,484947,458576,415258,369090,316077,275067,234057,179044,145035,109027,79019,58014,42010,28356,19823,10224,6862,4026,5728
2022,2,64189000,388517,404419,408302,425295,446531,458483,476564,489516,487712,501155,502830,513908,518615,521127,531318,527791,524082,524179,548837,557242,583877,605161,613773,616908,627722,626246,624075,630295,626028,610884,615990,612770,625369,636775,654813,673322,682253,709645,734011,744501,745788,750789,784330,802892,834106,854942,894648,932104,984212,1004603,984469,957341,928670,915581,893512,891390,698510,858772,804907,784703,759501,744499,750568,762997,743216,722093,758006,780143,780486,829415,874496,922799,990351,1079590,1064510,1002543,623937,668284,810292,773266,783830,747973,666681,564985,586951,581720,558614,507893,453183,423947,379023,332021,280017,239015,199012,147009,116007,85005,59004,42003,29385,19057,12818,6352,4091,5303
2023,2,63859450,368838,388004,404192,408197,425273,446566,458610,476818,489563,487953,501468,503096,514449,518875,521408,531558,527583,524058,529933,562142,569423,594936,615618,621875,622235,631326,628645,626339,631839,627352,612221,616936,613873,626210,637215,655228,673408,682270,709553,734014,744342,745577,750509,783909,802491,833479,854186,893797,931051,982820,1002995,982826,955729,926734,913555,891477,889252,696766,856449,802405,781992,756725,741759,747601,759827,739719,718355,753985,775759,775636,823601,867907,914895,981072,1068471,1051993,989581,614658,657260,794896,756661,764664,727210,645224,543475,561160,552328,525871,473599,417892,385469,339533,292597,241667,202721,165772,116839,88878,62913,42941,28324,19601,12232,7905,3759,5075
2024,2,63572300,376678,373613,388301,407858,409047,425645,446847,459091,477250,490235,488465,501912,503783,514718,518984,521516,531814,529192,527556,530166,553281,559470,582480,602421,618232,620287,628241,626979,626418,633081,629102,613567,618658,615150,627934,638966,656504,674706,683374,710872,735126,745373,746825,751271,784748,803109,833861,854284,893764,930827,982316,1002530,982051,954633,925690,912146,890226,887597,695317,854533,800738,780422,754867,739736,745317,757507,737124,715631,750561,771682,771285,818558,861812,908146,972637,1058384,1041408,977792,607002,647512,780855,741230,746245,706629,624584,523562,537255,524737,495705,441973,385399,350564,304126,257246,208970,171203,135610,97377,72922,50826,33329,22034,14092,8473,5254,5359
2025,2,63236171,376328,376557,373592,388344,407921,409117,425732,446978,459275,477479,490507,488761,502240,504118,514906,519082,521947,532974,531103,530106,533189,556536,562761,585453,604545,619372,620839,628636,627316,626677,633256,629242,613699,618753,615170,627844,638804,656349,674592,683287,710781,735012,745222,746625,751014,784395,802642,833260,853540,892847,929725,981000,1001037,980450,952956,923953,910311,888298,885514,693538,852194,798387,777973,752330,737056,742391,754266,733679,711966,746345,766919,766056,812464,854751,899907,962795,1046354,1028044,963556,596920,635178,763746,722516,724494,682792,600150,499789,508948,492658,460553,405682,348893,312453,266393,221017,175727,140580,108459,75656,54894,36980,23386,14880,9144,5276,6068
2026,2,62888857,373887,376211,376537,373641,388411,407992,409205,425864,447161,459502,477748,490803,489083,502575,504306,515005,519513,523112,534880,533647,533130,536469,559826,565715,587577,605691,619928,621245,628972,627575,626860,633397,629370,613799,618773,615088,627692,638660,656245,674512,683211,710681,734871,745029,746376,750687,783948,802074,832546,852677,891804,928495,979556,999425,978749,951189,922116,908364,886237,883290,691650,849723,795911,775391,749639,734198,739255,750788,729973,708020,741798,761786,760423,805890,847099,890928,952010,1033127,1013304,947802,585731,621484,744769,701789,700440,656500,573322,473855,478295,458228,423265,367767,311441,274144,229290,186222,144600,112689,84472,57100,40047,26019,15838,9684,5711,6506
2027,2,62532313,372976,373776,376193,376586,373712,388485,408080,409338,426045,447386,459766,478040,491127,489414,502763,504405,515437,520681,525034,537417,536664,536411,539755,562778,567835,588733,606255,620339,621591,629232,627759,627006,633526,629466,613823,618693,614945,627556,638567,656176,674442,683125,710554,734688,744788,746057,750269,783403,801397,831716,851694,890637,927143,977996,997712,976956,949320,920166,906283,884038,880929,689656,847122,793302,772651,746769,731136,735890,747047,725981,703763,736897,756255,754347,798770,838762,881090,940151,1018537,996992,930317,573302,606284,723738,678852,673887,627602,544017,445734,445347,421642,384229,328780,273702,236379,193562,153553,116171,87977,63915,41767,28255,17671,10336,6065,7027
2028,2,62167768,372832,372868,373761,376243,376657,373787,388575,408213,409518,426267,447648,460052,478359,491458,489600,502863,504839,516607,522608,527596,540428,539942,539697,542689,564898,569009,589313,606673,620688,621860,629417,627907,627140,633624,629488,613748,618551,614818,627471,638507,656116,674363,683013,710386,734458,744478,745650,749757,782753,800609,830769,850593,889355,925681,976338,995905,975059,947337,918083,904060,881701,878433,687559,844379,790533,769730,743694,727850,732270,743015,721672,699170,731611,750287,747767,791013,829629,870272,927070,1002388,978883,910885,559499,589427,700448,653512,644672,595999,512200,415463,410277,383266,344002,289403,236408,199923,159931,123635,90908,66733,46875,29549,19243,11565,6492,7548
2029,2,61795366,372375,372727,372855,373813,376315,376733,373878,388707,408393,409737,426523,447931,460365,478686,491646,489701,503297,506015,518542,525176,530629,543703,543231,542634,544805,566076,569616,589746,607030,620960,622052,629566,628042,627242,633646,629408,613612,618425,614740,627418,638458,656048,674258,682861,710173,734160,744079,745149,749144,781994,799709,829708,849380,887966,924125,974588,993993,973045,945218,915857,901698,879230,875805,685350,841469,787581,766600,740393,724315,728368,738662,717022,694216,725907,743824,740601,782519,819588,858339,912590,984459,958752,889291,544179,570747,674697,625604,612685,561642,477903,383191,373420,343632,303277,250396,200316,165516,129048,96973,69126,49068,33251,20180,12629,7284,8114
2030,2,61414979,371370,372273,372716,372908,373886,376391,376824,374011,388886,408612,409989,426799,448239,460686,478872,491747,490137,504475,507968,521122,528216,533917,546994,546171,544751,546000,566689,570073,590116,607309,621155,622207,629703,628146,627268,633567,629266,613491,618349,614696,627375,638398,655953,674114,682664,709893,733775,743588,744548,748428,781126,798699,828538,848067,886488,922484,972736,991964,970894,942953,913491,899200,876629,873035,683008,838367,784418,763241,736843,720505,724156,733962,712003,688868,719731,736787,732755,773179,808510,845129,896512,964520,936367,865311,527192,550078,646310,595013,577868,524556,441281,349211,335276,303417,262838,212553,166167,133837,101448,73915,50957,34899,22769,13280,7976,8930
2031,2,61026376,369772,371272,372265,372770,372982,373962,376482,376957,374188,389101,408864,410260,427099,448556,460870,478974,492183,491322,506431,510575,524173,531508,537206,549938,548290,545947,546639,567153,570466,590406,607511,621313,622348,629808,628174,627195,633426,629141,613419,618306,614661,627323,638313,655821,673925,682404,709529,733299,742997,743845,747608,780151,797585,827270,846669,884929,920747,970770,989796,968595,940545,910987,896569,873887,870097,680512,835042,781024,759628,733016,716390,719604,728887,706584,683078,713010,729085,724129,762876,796247,830460,878626,942338,911493,838700,508381,527272,615161,561675,540235,484894,402650,313972,296486,263391,223512,176657,134642,105447,77510,54624,36336,23961,15025,8409,9832
2032,2,60629221,367524,369678,371265,372320,372844,373059,374055,376616,377135,374401,389348,409135,410553,427408,448739,460974,479412,493367,493299,509043,513653,527471,534797,540143,552059,549484,546587,547128,567550,570775,590618,607674,621457,622458,629838,628103,627060,633301,629066,613381,618272,614616,627245,638191,655644,673674,682062,709077,732725,742306,743040,746685,779074,796375,825919,845192,883278,918904,968670,987479,966149,937996,908352,893796,870978,866964,677839,831473,777372,755732,728882,711942,714687,723404,700717,676778,705653,720619,714613,751469,782627,814135,858717,917673,883874,809213,487609,502220,581173,525593,499926,442983,362507,278057,257788,224373,186117,143434,106315,80754,57421,39051,25014,15854,9540,10629
