îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,2,64796518,409126,425504,446610,458758,476786,489602,487651,500926,502649,513465,517816,520562,530779,527345,523987,524155,544825,548945,570651,590112,606718,610829,621512,622835,624071,631637,628011,612692,618013,614649,627606,638891,656763,675243,684020,711507,735711,745911,747373,751921,785600,804214,835346,856197,896212,933904,986180,1007110,987144,960220,931708,918600,897008,894878,701484,862599,808886,788940,763735,749072,755430,768620,748855,728040,764705,787569,788835,839130,885623,935775,1005434,1098181,1085163,1023795,639054,686501,834870,800016,814920,782135,702099,599611,628598,629361,612336,564951,513071,489221,447622,402847,350475,309423,267062,210549,174069,135592,100536,75866,55873,38994,28264,15144,10572,6464,4245,5818
2021,2,64483231,405212,408410,425197,446424,458490,476583,489404,487580,500856,502636,513560,518030,520791,530881,527449,524238,523853,544504,549387,573609,596780,607116,609961,621725,622657,622247,629212,625310,610460,616108,612842,625640,636950,655053,673533,682469,710022,734584,744945,746331,751023,784691,803263,834418,855337,895203,932861,985002,1005680,985729,958601,930217,916989,895223,893069,700033,860604,806870,786803,761572,746822,753012,765914,746243,725174,761537,784042,784916,834434,880230,929630,998270,1089358,1075326,1013888,631970,677995,823342,787686,800558,766402,685788,583638,609376,607474,587359,538380,484947,458576,415258,369090,316077,275067,234057,179044,145035,109027,79019,58014,42010,28356,19823,10224,6862,4026,5728
2022,2,64189000,388517,404419,408302,425295,446531,458483,476564,489516,487712,501155,502830,513908,518615,521127,531318,527791,524082,524179,548837,557242,583877,605161,613773,616908,627722,626246,624075,630295,626028,610884,615990,612770,625369,636775,654813,673322,682253,709645,734011,744501,745788,750789,784330,802892,834106,854942,894648,932104,984212,1004603,984469,957341,928670,915581,893512,891390,698510,858772,804907,784703,759501,744499,750568,762997,743216,722093,758006,780143,780486,829415,874496,922799,990351,1079590,1064510,1002543,623937,668284,810292,773266,783830,747973,666681,564985,586951,581720,558614,507893,453183,423947,379023,332021,280017,239015,199012,147009,116007,85005,59004,42003,29385,19057,12818,6352,4091,5303
2023,2,63859450,368838,388004,404192,408197,425273,446566,458610,476818,489563,487953,501468,503096,514449,518875,521408,531558,527583,524058,529933,562142,569423,594936,615618,621875,622235,631326,628645,626339,631839,627352,612221,616936,613873,626210,637215,655228,673408,682270,709553,734014,744342,745577,750509,783909,802491,833479,854186,893797,931051,982820,1002995,982826,955729,926734,913555,891477,889252,696766,856449,802405,781992,756725,741759,747601,759827,739719,718355,753985,775759,775636,823601,867907,914895,981072,1068471,1051993,989581,614658,657260,794896,756661,764664,727210,645224,543475,561160,552328,525871,473599,417892,385469,339533,292597,241667,202721,165772,116839,88878,62913,42941,28324,19601,12232,7905,3759,5075
2024,2,63419393,377302,373933,388454,408217,409498,425920,447046,459343,477604,490641,488873,502294,504138,515095,519363,521878,532567,531722,533628,540304,565934,571946,592591,609610,623288,624213,631441,629612,628698,635094,630731,614751,619503,615803,628472,639413,656852,674981,683660,711207,735498,745707,747079,751439,784816,803092,833746,854070,893461,930445,981841,1001984,981443,953967,924990,911428,889498,886819,694632,853655,799847,779502,753927,738759,744262,756341,735873,714300,749048,769999,769464,816487,859454,905381,969255,1054096,1036497,972466,603206,642809,774237,734003,737860,697500,615308,514599,526731,513045,483127,429247,372861,337828,291979,245999,199041,162420,128083,91562,68287,47405,30976,20421,13033,7826,4852,4964
2025,2,63077198,377521,377372,374178,388744,408463,409706,426149,447345,459717,478033,491109,489352,502803,504685,515459,519623,522941,535648,537324,541347,549055,574466,579518,598933,614432,626584,626497,633300,631211,629999,636083,631491,615365,619989,616143,628638,639455,656880,675063,683782,711320,735564,745703,746990,751257,784499,802621,833102,853250,892437,929209,980356,1000292,979625,952065,923024,909354,887316,884462,692609,851016,797194,776744,751074,735748,740977,752707,732011,710202,744352,764716,763681,809744,851612,896189,958233,1040596,1021472,956425,591825,628892,754971,712971,713458,670818,588059,488219,495481,477820,444789,390006,333776,297440,252380,208335,164792,131147,100611,69790,50381,33779,21274,13494,8275,4769,5498
2026,2,62728701,375738,377595,377618,374475,388995,408672,409936,426448,447718,460144,478497,491589,489857,503350,505048,515720,520687,526028,541245,545036,550098,557612,582037,585841,603754,617733,628872,628367,634900,632512,630995,636843,632100,615855,620330,616318,628689,639495,656973,675193,683911,711401,735570,745621,746818,750969,784050,802014,832315,852286,891266,927818,978716,998461,977695,950066,920948,907151,884983,881949,690464,848233,794407,773841,748050,732538,737459,748808,727865,705802,739305,759036,757447,802447,843080,886137,946132,1025729,1004872,938653,579206,613478,733663,689745,686573,641548,558347,459661,461930,440409,404646,349618,294326,257530,214124,172822,133341,103249,76870,51619,35993,23261,14097,8591,5056,5768
2027,2,62375673,375580,375818,377843,377915,374730,389206,408903,410237,426821,448143,460604,478974,492095,490399,503713,505310,516784,523776,531641,548950,553781,558656,565178,588356,590657,607065,620028,630745,629976,636201,633509,631761,637453,632587,616201,620506,616379,628737,639600,657115,675329,684008,711423,735500,745456,746539,750553,783469,801268,831388,851180,889945,926279,976941,996517,975667,947955,918741,904793,882495,879285,688203,845307,791474,770764,744827,729102,733686,744622,723413,701071,733877,752914,750704,794511,833750,875100,932806,1009302,986478,918940,565221,596418,710115,664134,657049,609595,526141,428958,426239,401163,363243,308759,255248,218878,177962,140126,105207,79070,56996,36972,24851,15454,8999,5264,6097
2028,2,62019160,376291,375663,376069,378141,378170,374943,389439,409204,410608,427242,448601,461075,479475,492638,490762,503976,506376,519876,529394,539371,557689,562336,566222,571480,593171,593984,609375,621908,632356,631285,637198,634276,632375,637941,632928,616382,620567,616436,628850,639752,657262,675433,684047,711370,735347,745186,746133,750009,782752,800387,830322,849931,888481,924610,975056,994473,973524,945711,916381,902280,879856,876472,685832,842227,788364,767484,741375,725415,729632,740122,718622,695982,728026,746292,743372,785833,823505,862944,918079,991096,966065,897079,549730,577550,684128,635983,624782,574914,491468,396246,388730,360601,321262,268192,217313,182253,144583,110798,80754,58769,40925,25593,16554,9891,5528,6414
2029,2,61659130,376796,376377,375917,376369,378397,378383,375177,389740,409575,411027,427695,449069,461570,480014,493002,491025,505043,509474,525502,537131,548133,566241,569904,572526,576291,596502,596320,611268,623526,633669,632289,637966,634892,632867,638282,633104,616449,620626,616558,629010,639909,657378,675480,684011,711235,735090,744789,745600,749333,781902,799372,829115,848544,886892,922837,973074,992313,971246,943310,913862,899611,877071,873517,683339,838961,785050,763971,737672,721455,725275,735280,713467,690495,721697,739092,735357,776305,812221,849511,901755,970884,943414,872850,532587,556714,655537,605180,589717,537527,454471,361806,349884,319384,279487,228718,181279,148360,114564,85237,60163,42302,28401,17092,10623,6092,6757
2030,2,61295267,376855,376886,376633,376218,376626,378611,378618,375478,390110,409995,411476,428156,449559,462103,480376,493266,492094,508142,515118,533251,545900,556697,573812,576212,577338,579637,598842,598237,612898,624844,634675,633063,638583,635385,633213,638458,633164,616512,620748,616726,629175,640035,657436,675452,683896,710999,734708,744267,744938,748530,780922,798221,827774,847037,885203,920973,970978,990017,968809,940747,911188,896795,874143,870405,680701,835478,781499,760202,733694,717197,720584,730065,707906,684561,714819,731224,726556,765810,799750,834617,883625,948443,918292,846017,513641,533769,624220,571667,551867,497574,415450,326067,310326,278276,238744,191133,147851,117799,88328,63650,43410,29430,19016,10996,6559,7294
2031,2,60927156,376410,376948,377143,376935,376475,376840,378846,378919,375847,390526,410443,411932,428638,450088,462464,480641,494334,495200,513790,522895,542031,554468,564266,580123,581026,580686,582004,600764,599888,614227,625856,635450,633683,639077,635733,633394,638519,633223,616639,620918,616899,629309,640104,657421,675346,683681,710640,734202,743615,744149,747602,779809,796940,826315,845433,883427,919003,968752,987559,966206,938025,908365,893834,871061,867105,677890,831747,777690,756151,729415,712611,715530,724439,701892,678113,707302,722585,716861,754208,785922,818071,863485,923537,890452,816339,492759,508610,590106,535447,511360,455365,374880,289598,270786,238092,199859,156181,117632,91017,66108,46035,30275,19753,12264,6806,7886
2032,2,60554272,375380,376507,377208,377446,377193,376690,377076,379147,379288,376261,390969,410898,412408,429160,450448,462730,481712,497440,500870,521571,531701,550605,562037,570571,584939,584372,583053,583950,602419,601235,615248,626637,636073,634181,639425,635915,633461,638578,633346,616813,621093,617042,629385,640101,657329,675141,683348,710161,733569,742838,743237,746546,778568,795545,824763,843748,881551,916910,966368,984935,963441,935151,905397,890717,867794,863586,674882,827742,773594,751793,724803,707667,710075,718353,695358,671068,699050,713067,706144,741344,770555,799681,841119,895919,859639,783599,469840,481173,553189,496628,468495,411399,333397,253067,232050,199654,163612,124505,91080,68273,47924,32182,20370,12771,7610,8377
