厚生年金2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
16,0.070212347,0.000096348,0.000152365,,,,,,,,
17,0.070145432,0.000127176,0.000188451,,,,,,,,
18,0.070111194,0.000117309,0.000232557,,,,,,,,
19,0.070094048,0.000090349,0.000276662,,,,,,,,
20,0.070052889,0.000092567,0.000315604,,,,,,,,
21,0.069973919,0.00013945,0.00034769,,,,,,,,
22,0.069888933,0.000204627,0.0003675,,,,,,,,
23,0.06985083,0.000239388,0.000370842,,,,,,,,
24,0.069843572,0.000258533,0.000358955,,,,,,,,
25,0.063860888,0.000288327,0.000339144,,,,,,,,
26,0.058205377,0.000332175,0.000321528,,,,,,,,
27,0.053314467,0.000375267,0.000314044,,,,,,,,
28,0.049354859,0.000409445,0.000313511,,,,,,,,
29,0.046232915,0.000435783,0.000316163,,,,,,,,
30,0.043529921,0.000467523,0.00031759,,,,,,,,
31,0.040836868,0.000502805,0.000319433,,,,,,,,
32,0.038203689,0.000533528,0.000333132,,,,,,,,
33,0.035851109,0.000556519,0.000355682,,,,,,,,
34,0.033603441,0.000577948,0.000378888,,,,,,,,
35,0.031506351,0.000597149,0.000401118,,,,,,,,
36,0.029629003,0.000609716,0.000423402,,,,,,,,
37,0.02806922,0.000619125,0.000451454,,,,,,,,
38,0.026770941,0.000628546,0.000486641,,,,,,,,
39,0.025640496,0.000644724,0.000526457,,,,,,,,
40,0.024546653,0.000670759,0.000564836,,,,,,,,
41,0.023372158,0.000703675,0.00059969,,,,,,,,
42,0.022159607,0.000736699,0.000631158,,,,,,,,
43,0.021140223,0.00077593,0.000664572,,,,,,,,
44,0.020405192,0.000826011,0.000712003,,,,,,,,
45,0.019918324,0.000878601,0.000779218,,,,,,,,
46,0.019478305,0.000927379,0.000865182,,,,,,,,
47,0.019109239,0.000975602,0.000964139,,,,,,,,
48,0.018825101,0.001027187,0.001071465,,,,,,,,
49,0.018736874,0.001089947,0.001187412,,,,,,,,
50,0.018919553,0.001169061,0.001318686,,,,,,,,
51,0.019187546,0.001261358,0.00146775,,,,,,,,
52,0.019477541,0.001354742,0.001627431,,,,,,,,
53,0.020000564,0.001443009,0.001800103,,,,,,,,
54,0.020795995,0.001531549,0.001990765,,,,,,,,
55,0.02176074,0.001625973,0.002191091,,,,,,,,
56,0.022735327,0.001745022,0.002401554,,,,,,,,
57,0.023662763,0.001902183,0.002625441,,,,,,,,
58,0.024635692,0.002093643,0.002859009,,,,,,,,
59,0.025827002,0.002306032,0.003103615,,,,,,,,
60,0.067982866,0.002805487,0.003361526,,,,,,,,
61,0.049539389,0.002820195,0.003626781,,,,,,,,
62,0.042733807,0.002752001,0.003900313,,,,,,,,
63,0.067827068,0.002558308,0.00418686,,,,,,,,
64,0.073718564,0.002243402,0.004490229,,,,,,,,
65,0.218129769,0.002243402,0.004830289,,,,,,,,
66,0.17013129,0.002243402,0.005220703,,,,,,,,
67,0.106193479,0.002243402,0.005667433,,,,,,,,
