年齢別年金支給額割合,,,,,,,,,,,,,,,,,,,
年度,性別：男,J：額,,,,,,,,,,,,,,,,,
21,1,1,,,,,,,,,,,,,,,,,
,新法老齢退職,新法老齢在職,新法通老退職,新法通老在職,旧法老齢退職,旧法老齢在職,旧法通老退職,旧法通老在職,新法障害,旧法障害,新法遺族,旧法遺族,旧法通遺,老齢基礎,通老基礎,障害基礎,遺族基礎,障害みなし基礎,遺族基礎（親なし子）
52,0,0,0,0,0.973365599,0.915880624,1,0.928901277,0.951370122,1,0.991559879,1,1,1,1,0.98692081,0.998018474,1,0
53,0,0,0,0,0.973365599,0.915880624,1,0.928901277,0.952210408,0.999590316,0.991559879,1,1,1,1,0.987336371,0.998018474,1,0
54,0,0,0,0,0.973365599,0.915880624,1,0.928901277,0.953200194,0.99643012,0.991559879,1,1,1,1,0.987872889,0.998018474,1,0
55,0,0,0,0,0.973365599,0.915880624,1,0.928901277,0.953999595,0.991522151,0.991559879,1,1,1,1,0.988408396,0.998018474,1,0
56,0,0,0,0,0.973365599,0.915880624,1,0.928901277,0.954479793,0.985365254,0.991559879,1,1,1,1,0.988828502,0.998018474,1,0
57,0,0,0,0,0.973365599,0.915880624,1,0.928901277,0.954738544,0.979706429,0.991559879,1,1,1,1,0.989116594,0.998018474,1,0
58,0,0,0,0,0.973365599,0.915880624,1,0.928901277,0.954672906,0.976229746,0.991559879,1,1,1,1,0.989237386,0.998018474,1,0
59,0,0,0,0,0.973365599,0.915880624,1,0.928901277,0.953927773,0.975279727,0.991559879,1,1,1,1,0.989199397,0.998018474,1,0
60,0.98149857,0.968547449,0.991200359,0.9838999,0.973365599,0.915880624,1,0.928901277,0.952358961,0.975159795,0.992348971,1,1,0.999755705,0.999878456,0.989124212,0.998018474,1,0
61,0.986449599,0.972789015,0.991193412,0.983338204,0.973365599,0.915880624,1,0.928901277,0.950237258,0.973981193,0.994248039,0.973433067,0.973433067,0.999689604,0.999659694,0.989207764,0.998018474,0.999082049,0
62,0.982721446,0.885675672,0.989841802,0.965019592,0.973365599,0.915880624,1,0.928901277,0.948139065,0.969817391,0.989929538,0.989157641,0.989157641,0.99959919,0.999423335,0.989614062,0.998018474,0.997235213,0
63,0.985888978,0.885107775,0.987770043,0.958064246,0.973365599,0.915880624,1,0.928901277,0.946433117,0.962982848,0.989303542,0.983201957,0.983201957,0.999449067,0.999230154,0.990329319,0.998018474,0.994726932,0
64,0.931015673,0.686640178,0.896673764,0.826405703,0.973365599,0.915880624,1,0.928901277,0.725011959,0.850820734,0.982978551,0.949692326,0.949692326,0.999225941,0.999131329,0.925077838,0.998018474,0.921086317,0
65,0.982173687,0.854698867,0.966055292,0.926251413,0.973365599,0.915880624,1,0.928901277,0.488439524,0.742153821,0.643350611,0.945491474,0.945491474,0.984519864,0.9462355,0.956380385,0.998018474,0.845483421,0
66,0.980862981,0.865217312,0.969701715,0.928214432,0.973365599,0.915880624,1,0.928901277,0.453081663,0.725007043,0.627236571,0.93406432,0.93406432,0.984859077,0.948673924,0.959461051,0.998018474,0.841027824,0
67,0.980889045,0.872443606,0.973571163,0.929366791,0.973365599,0.915880624,1,0.928901277,0.42174197,0.707829544,0.621581183,0.922754612,0.922754612,0.985372469,0.951506489,0.961053791,0.998018474,0.835574897,0
68,0.982547822,0.874645725,0.97760625,0.928555435,0.973365599,0.915880624,1,0.928901277,0.396824247,0.690194408,0.627673763,0.91216792,0.91216792,0.986087932,0.954675918,0.960352611,0.998018474,0.828953141,0
69,0.985424356,0.871740216,0.981571525,0.924971241,0.973365599,0.915880624,1,0.928901277,0.379299736,0.67148089,0.642736585,0.904065455,0.904065455,0.986915397,0.958125836,0.957544859,0.998018474,0.819775188,0
70,0.988602893,0.865912908,0.985167195,0.918870118,0.973365599,0.915880624,1,0.928901277,0.368457833,0.652716867,0.661718939,0.900301819,0.900301819,0.987698993,0.962017077,0.953496293,0.998018474,0.808574148,0
71,0.991236827,0.860165501,0.988155082,0.91139474,0.973365599,0.915880624,1,0.928901277,0.362204074,0.635281402,0.680265411,0.900759284,0.900759284,0.98833052,0.966498995,0.949798056,0.998018474,0.796555137,0
72,0.993184442,0.855666494,0.990449003,0.904172565,0.973365599,0.915880624,1,0.928901277,0.358555082,0.620062862,0.699209692,0.904036911,0.904036911,0.988863387,0.971406843,0.947125309,0.998018474,0.785320993,0
73,0.994577705,0.852204103,0.992074246,0.898139955,0.973365599,0.915880624,1,0.928901277,0.355643417,0.606599851,0.717657276,0.90734609,0.90734609,0.989418432,0.9760278,0.944724392,0.998018474,0.774963578,0
74,0.995576419,0.849089826,0.993161661,0.893430906,0.973365599,0.915880624,1,0.928901277,0.350006545,0.592095657,0.735149731,0.908601047,0.908601047,0.990079248,0.979566851,0.941277026,0.998018474,0.763889944,0
75,0.996351152,0.845889301,0.99392378,0.889607001,0.973365599,0.915880624,1,0.928901277,0.338934101,0.573042595,0.750403546,0.907517886,0.907517886,0.990835762,0.981820633,0.935691297,0.998018474,0.748847385,0
76,0.997002267,0.843126566,0.994599044,0.886308013,0.973365599,0.915880624,1,0.928901277,0.322447919,0.549276635,0.76196809,0.904502876,0.904502876,0.991607248,0.983234838,0.928331786,0.998018474,0.729914583,0
77,0.99754944,0.84141032,0.995256922,0.883349525,0.973365599,0.915880624,1,0.928901277,0.302229734,0.523571304,0.769342532,0.90004581,0.90004581,0.992313886,0.984383701,0.920730018,0.998018474,0.709553557,0
78,0.99800168,0.840700937,0.995843785,0.880652596,0.973365599,0.915880624,1,0.928901277,0.280891343,0.500244507,0.773481632,0.895355723,0.895355723,0.992961715,0.985571616,0.914174354,0.998018474,0.692019939,0
79,0.998371096,0.840278549,0.996261012,0.878384779,0.973365599,0.915880624,1,0.928901277,0.260791265,0.481848809,0.776322385,0.892133254,0.892133254,0.993609318,0.986822497,0.909465102,0.998018474,0.678116565,0
80,0.998670942,0.839774612,0.996526429,0.877281805,0.973365599,0.915880624,1,0.928901277,0.244832202,0.4685416,0.779413685,0.891577896,0.891577896,0.994312212,0.98813427,0.905160638,0.998018474,0.666879958,0
81,0.998913354,0.839574695,0.996749693,0.877471229,0.973365599,0.915880624,1,0.928901277,0.233764968,0.458396856,0.836147956,0.893221307,0.893221307,0.995057327,0.989501998,0.897761168,0.998018474,0.656055674,0
