年齢別年金支給額割合,,,,,,,,,,,,,,,,,,,
年度,性別：男,J：額,,,,,,,,,,,,,,,,,
21,1,1,,,,,,,,,,,,,,,,,
,新法老齢退職,新法老齢在職,新法通老退職,新法通老在職,旧法老齢退職,旧法老齢在職,旧法通老退職,旧法通老在職,新法障害,旧法障害,新法遺族,旧法遺族,旧法通遺,老齢基礎,通老基礎,障害基礎,遺族基礎,障害みなし基礎,遺族基礎（親なし子）
53,0,0,0,0,0.984323798,0,1,0,0.957605894,0.999590316,0.944054126,1,1,1,1,0.987336371,0.998018474,1,0
54,0,0,0,0,0.984323798,0,1,0,0.963608267,0.99643012,0.944054126,1,1,1,1,0.987872889,0.998018474,1,0
55,0,0,0,0,0.984323798,0,1,0,0.966759395,0.991522151,0.944054126,1,1,1,1,0.988408396,0.998018474,1,0
56,0,0,0,0,0.984323798,0,1,0,0.964852362,0.985365254,0.952472639,1,1,1,1,0.988828502,0.998018474,1,0
57,0,0,0,0,0.984323798,0,1,0,0.959681,0.979706429,0.961279423,1,1,1,1,0.989116594,0.998018474,1,0
58,0,0,0,0,0.984323798,0,1,0,0.954237118,0.976229746,0.969947716,1,1,1,1,0.989237386,0.998018474,1,0
59,0,0,0,0,0.984323798,0,1,0,0.950202643,0.975279727,0.978032943,1,1,1,1,0.989199397,0.998018474,1,0
60,0.958399453,0.52048433,0.95532677,0.946528217,0.984323798,0,1,0,0.947829388,0.975159795,0.977567827,1,1,0.999755705,0.999878456,0.989124212,0.998018474,1,0
61,0.958399453,0.52048433,0.95532677,0.946528217,0.984323798,0,1,0,0.947260421,0.973981193,0.989069573,1,1,0.999689604,0.999659694,0.989207764,0.998018474,0.999082049,0
62,0.958399453,0.52048433,0.95532677,0.946528217,0.984323798,0,1,0,0.948881176,0.969817391,0.980378892,1,1,0.99959919,0.999423335,0.989614062,0.998018474,0.997235213,0
63,0.87844981,0.831765232,0.603563962,0.48811288,0.984323798,0,1,0,0.796045824,0.962982848,0.983057349,1,1,0.999449067,0.999230154,0.990329319,0.998018474,0.994726932,0
64,0.876526526,0.831765232,0.605379286,0.48811288,0.984323798,0,1,0,0.748589047,0.850820734,0.974753915,1,1,0.999225941,0.999131329,0.925077838,0.998018474,0.921086317,0
65,0.943945987,0.471627561,0.822798359,0.505613133,0.984323798,0,1,0,0.45128409,0.742153821,0.701525231,0.687271954,0.687271954,0.984519864,0.9462355,0.956380385,0.998018474,0.845483421,0
66,0.953944533,0.489968766,0.847040281,0.52208566,0.984323798,0,1,0,0.428245321,0.725007043,0.700920905,0.572238271,0.572238271,0.984859077,0.948673924,0.959461051,0.998018474,0.841027824,0
