私学共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
16,0.115125113,0,0.00007089,,,,,,,,
17,0.115106292,0,0.000089711,,,,,,,,
18,0.11508559,0,0.000110413,,,,,,,,
19,0.115064486,0.000001029,0.000130488,,,,,,,,
20,0.115039204,0.000005608,0.000151191,,,,,,,,
21,0.115013544,0.000012447,0.000170011,,,,,,,,
22,0.114992228,0.000020589,0.000183185,,,,,,,,
23,0.114976675,0.000031124,0.000188204,,,,,,,,
24,0.114964299,0.000045382,0.000186322,,,,,,,,
25,0.124108717,0.000063315,0.000180676,,,,,,,,
26,0.136045481,0.000085132,0.000176912,,,,,,,,
27,0.14871836,0.000109124,0.000178794,,,,,,,,
28,0.15679173,0.000129562,0.000183185,,,,,,,,
29,0.156268002,0.000144812,0.000189459,,,,,,,,
30,0.147251589,0.000163866,0.00019636,,,,,,,,
31,0.134014391,0.000191835,0.000203261,,,,,,,,
32,0.118993341,0.000223997,0.000213298,,,,,,,,
33,0.108078764,0.000256014,0.000225845,,,,,,,,
34,0.100244925,0.000286063,0.000238392,,,,,,,,
35,0.092229535,0.000310768,0.000250312,,,,,,,,
36,0.084510309,0.000332266,0.000260349,,,,,,,,
37,0.07781409,0.000358486,0.000272269,,,,,,,,
38,0.071906299,0.000387509,0.000289835,,,,,,,,
39,0.066740213,0.000413713,0.000312419,,,,,,,,
40,0.061402324,0.000438712,0.00033814,,,,,,,,
41,0.054262684,0.000468418,0.000365116,,,,,,,,
42,0.04624472,0.000500217,0.000394602,,,,,,,,
