地共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
16,0.038441825,0,0.000081091,,,,,,,,
17,0.038420297,0,0.00010262,,,,,,,,
18,0.038396615,0,0.000126301,,,,,,,,
19,0.038353758,0.000019893,0.000149265,,,,,,,,
20,0.038298141,0.000051829,0.000172947,,,,,,,,
21,0.038253621,0.00007482,0.000194475,,,,,,,,
22,0.03822508,0.000088291,0.000209545,,,,,,,,
23,0.038216337,0.000091293,0.000215286,,,,,,,,
24,0.038210489,0.000099294,0.000213133,,,,,,,,
25,0.035882875,0.000122563,0.000206675,,,,,,,,
26,0.034616613,0.000156762,0.000202369,,,,,,,,
27,0.034425246,0.000180773,0.000204522,,,,,,,,
28,0.034720179,0.000199577,0.000209545,,,,,,,,
29,0.034441275,0.00021221,0.000216721,,,,,,,,
30,0.032884115,0.000228586,0.000224615,,,,,,,,
31,0.030363859,0.000251546,0.000232509,,,,,,,,
32,0.027723414,0.000279881,0.000243991,,,,,,,,
33,0.025508099,0.000316769,0.000258343,,,,,,,,
34,0.023928658,0.000369101,0.000272696,,,,,,,,
35,0.022671413,0.000418558,0.000286331,,,,,,,,
36,0.021589563,0.000439844,0.000297813,,,,,,,,
37,0.020474328,0.000436128,0.000311447,,,,,,,,
38,0.019289234,0.00042685,0.000331541,,,,,,,,
39,0.017999181,0.000444046,0.000357375,,,,,,,,
40,0.016757403,0.000490102,0.000386798,,,,,,,,
41,0.015775016,0.000540291,0.000417655,,,,,,,,
42,0.015035077,0.000586496,0.000451383,,,,,,,,
43,0.014519643,0.000629553,0.000490135,,,,,,,,
44,0.014133613,0.000672262,0.00053678,,,,,,,,
45,0.013690491,0.000726411,0.00059419,,,,,,,,
46,0.013261337,0.000781001,0.000660211,,,,,,,,
47,0.012871265,0.000862,0.000731973,,,,,,,,
48,0.012518293,0.00096817,0.000810911,,,,,,,,
49,0.012369015,0.001079579,0.000897744,,,,,,,,
50,0.012581771,0.001165696,0.000993905,,,,,,,,
51,0.013119933,0.001224793,0.001102265,,,,,,,,
52,0.013712217,0.001291995,0.001219955,,,,,,,,
53,0.014467262,0.001374992,0.001344821,,,,,,,,
54,0.015385913,0.001458786,0.001479734,,,,,,,,
55,0.01623734,0.001544359,0.001626129,,,,,,,,
56,0.017389056,0.00165159,0.00178544,,,,,,,,
57,0.019368342,0.001837676,0.001958387,,,,,,,,
58,0.022580361,0.002117593,0.002148556,,,,,,,,
59,0.027062005,0.002464664,0.002359537,,,,,,,,
60,0.042739733,0.003075777,0.002594917,,,,,,,,
61,0.767251267,0.004800727,0.002859001,,,,,,,,
62,0.130023818,0.006239041,0.003149637,,,,,,,,
63,0.167855791,0.007362425,0.003463238,,,,,,,,
64,0.452739314,0.008269662,0.003802672,,,,,,,,
65,0.188493675,0.008269662,0.004177988,,,,,,,,
66,0.99527383,0.008269662,0.004604255,,,,,,,,
67,0.335589543,0.008269662,0.00509439,,,,,,,,
68,0.311604932,0.008269662,0.00564624,,,,,,,,
69,0.338308436,0.008269662,0.006251194,,,,,,,,
70,0.338308436,0.008269662,0.006251194,,,,,,,,
71,0.338308436,0.008269662,0.006251194,,,,,,,,
72,0.338308436,0.008269662,0.006251194,,,,,,,,
