標準報酬指数,BR,,
被保険者種別,1,2,3
年齢,,,
62,4443612,3105913,4443612
63,4267385,3033539,4267385
64,4116070,2974261,4116070
65,3962312,2920067,3962312
66,3813046,2873098,3813046
67,3685867,2841900,3685867
68,3593785,2830624,3593785
69,3534757,2834681,3534757
70,3397687,2731268,3397687
71,3410617,2756409,3410617
72,3411938,2774195,3411938
73,3390107,2775679,3390107
74,3340865,2756777,3340865
75,3270101,2721032,3270101
76,3270101,2721032,3270101
77,3270101,2721032,3270101
78,3270101,2721032,3270101
79,3270101,2721032,3270101
80,3270101,2721032,3270101
81,3270101,2721032,3270101
82,3270101,2721032,3270101
83,3270101,2721032,3270101
84,3270101,2721032,3270101
