1m_nenreisoukan,,
21,20,20.179112682828200
21,21,21.374142233764600
21,22,22.440707801880400
21,23,23.565440292991400
21,24,24.756802720706500
21,25,25.944906979128100
21,26,27.047227557205400
21,27,28.053424639906100
21,28,29.025158484672200
21,29,29.945975154097100
21,30,30.808724777231100
21,31,31.583099767687200
21,32,32.261304398636500
21,33,32.891133189782300
21,34,33.573505603763800
21,35,34.333078068201800
21,36,35.151204625737000
21,37,36.033810775186800
21,38,36.959432409051300
21,39,37.892871700425000
21,40,38.813771431776800
21,41,39.679705276151000
21,42,40.477482536437800
21,43,41.262193739125700
21,44,42.058947085420900
21,45,42.865045450583800
21,46,43.653831530481900
21,47,44.399128939098900
21,48,45.071417365591100
21,49,45.646172897339500
21,50,46.116036596216700
21,51,46.518171495137000
21,52,46.884163941895600
21,53,47.248309476524500
21,54,47.666027447603900
21,55,48.185227513670600
21,56,48.816477576314400
21,57,49.555430629321500
21,58,50.373612163504500
21,59,51.186314521310600
21,60,51.917152972821500
21,61,52.523398313677700
21,62,52.970479397670400
21,63,53.247311144047300
21,64,53.418081270467300
21,65,53.418081270467300
21,66,53.418081270467300
21,67,53.418081270467300
21,68,53.418081270467300
21,69,53.418081270467300
21,70,53.418081270467300
22,20,3.390924798782690
22,21,3.634105834984560
22,22,3.896699705819050
22,23,4.210264277877420
22,24,4.589125429941730
22,25,5.000683788329040
22,26,5.385809687878790
22,27,5.745110399303770
22,28,6.102413419499500
22,29,6.479995263499470
22,30,6.901411869833640
22,31,7.381416841846210
22,32,7.891619825780220
22,33,8.416940629251520
22,34,8.950984758716860
22,35,9.478811350145930
22,36,10.001024163283200
22,37,10.545891966986800
22,38,11.060681777667200
22,39,11.487856806257900
22,40,11.839136073368700
22,41,12.177014954219800
22,42,12.557700821923600
22,43,13.003267197280900
22,44,13.475487351579900
22,45,13.901896280089800
22,46,14.209624863656600
22,47,14.386537784811200
22,48,14.510870862687900
22,49,14.684186064491100
22,50,14.946784401953300
22,51,15.294408359108500
22,52,15.650126659222500
22,53,15.901172015423000
22,54,16.007695202650700
22,55,16.039033104948000
22,56,16.036138696965900
22,57,15.995549147897400
22,58,15.898238332276700
22,59,15.712996981700900
22,60,15.712996981700900
22,61,15.712996981700900
22,62,15.712996981700900
22,63,15.712996981700900
22,64,15.712996981700900
22,65,15.712996981700900
22,66,15.712996981700900
22,67,15.712996981700900
22,68,15.712996981700900
22,69,15.712996981700900
22,70,15.712996981700900
23,20,0.000000000000000
23,21,0.000000000000000
23,22,0.000000000000000
23,23,0.000000000000000
23,24,0.000000000000000
23,25,0.000000000000000
23,26,0.000000000000000
23,27,0.000000000000000
23,28,0.000000000000000
23,29,0.000000000000000
23,30,30.838461724758200
23,31,31.978515376935000
23,32,32.986944699874400
23,33,34.286275876876800
23,34,35.559949665674300
23,35,36.659721051409600
23,36,37.500490373492100
23,37,38.152160430417100
23,38,38.733922254812600
23,39,39.395984940700600
23,40,40.175941639716500
23,41,40.996670257578600
23,42,41.764920987875500
23,43,42.562960392349700
23,44,43.395697990450900
23,45,44.248654580256000
23,46,45.090972175841900
23,47,45.923711060176100
23,48,46.729931827051300
23,49,47.551114396217000
23,50,48.401028063750500
23,51,49.257912206288500
23,52,50.086910178916000
23,53,50.895020248874900
23,54,51.712813012541900
23,55,52.562718456857000
23,56,53.435352604842700
23,57,54.306422312161900
23,58,55.153620603289600
23,59,55.973161517019600
23,60,56.762534905930400
23,61,57.520828054227400
23,62,58.217863852357200
23,63,58.819437187286700
23,64,59.315365050821100
23,65,59.740850980111600
23,66,59.740850980111600
23,67,59.740850980111600
23,68,59.740850980111600
23,69,59.740850980111600
23,70,59.740850980111600
