年度,2021年度末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制度,地共済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被保険者種別,2種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計項目,被保険者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別１,現存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,被保険者期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,合計
37,239,1243,1461,738,686,799,833,1056,1281,1476,1777,1861,2286,2798,3621,5825,986,912,343,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30791
38,225,1224,1383,695,672,722,784,877,995,1316,1522,1667,1826,2382,2973,3424,5212,986,1145,306,609,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30947
39,213,1221,1376,563,613,666,721,691,841,986,1261,1377,1546,1899,2307,2672,3191,4846,1099,1163,301,627,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30182
40,206,1257,1379,504,505,590,690,647,716,834,984,1156,1318,1611,1878,2187,2492,3053,5180,1117,1216,314,558,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30394
41,220,1244,1283,465,434,463,553,591,661,717,756,878,1112,1300,1573,1695,2051,2527,3249,4781,1135,1275,312,591,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29870
42,221,1328,1330,484,442,428,469,540,641,649,733,791,924,1192,1372,1500,1655,2028,2560,3142,4506,1161,1313,317,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30334
43,257,1337,1383,475,443,445,447,432,556,612,637,667,746,881,1162,1279,1403,1763,2187,2704,3261,4112,1290,1567,298,632,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30978
44,275,1471,1460,403,395,381,475,403,442,557,588,628,651,717,916,932,1111,1454,1746,2331,2653,3018,4047,1541,1826,350,747,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31521
45,264,1563,1551,392,330,391,426,409,412,443,537,537,583,635,715,778,917,1086,1410,1711,2083,2386,2913,4569,1633,2126,382,880,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32065
46,253,1513,1586,415,336,314,361,350,398,415,427,511,528,577,598,625,726,880,1170,1444,1667,1963,2168,2977,4876,1867,2491,454,1247,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33140
