年度,2021年度末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制度,国共済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被保険者種別,1種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計項目,被保険者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別１,現存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,被保険者期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,合計
37,123,393,470,526,436,469,428,540,623,418,470,908,896,1137,1396,1912,675,1194,842,3606,0,39,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17713
38,96,359,422,450,411,432,400,476,555,362,479,836,657,943,1177,1674,1861,506,958,757,3651,0,32,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17742
39,94,311,407,407,379,384,410,473,440,334,381,750,563,818,997,1545,1748,1624,412,862,788,3369,2,30,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17747
40,85,301,372,365,322,389,397,438,472,306,316,671,534,664,725,1412,1796,1464,1569,385,898,819,3302,1,26,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18255
41,59,221,323,335,290,350,379,386,407,331,241,621,431,602,594,940,1457,1428,1464,1564,451,996,741,3674,0,26,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18495
42,61,227,262,292,271,331,299,387,439,292,311,571,409,562,487,804,1021,1256,1478,1651,1546,491,923,772,4373,0,33,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19759
43,56,176,240,270,262,257,292,344,398,296,317,587,372,485,454,627,758,936,1204,1650,1606,1645,426,1134,1041,4681,2,31,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20769
44,61,182,223,225,200,222,261,284,352,281,268,556,426,407,303,601,628,701,941,1373,1729,1982,1576,500,1379,1128,4802,0,24,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21826
45,42,157,201,216,191,208,210,274,283,256,283,538,389,398,328,432,500,504,737,920,1323,1846,1714,1599,683,1691,1352,4810,0,20,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22327
46,38,120,174,174,155,163,191,238,270,226,223,468,375,403,252,281,405,407,565,765,888,1460,1537,1867,1659,828,1689,1675,5885,2,25,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23618
