年齢区分,20~30h 男１号,20~30h 男３号,20~30h 男非加入,20~30h 女１号,20~30h 女３号,20~30h 女非加入,30h~ 男１号,30h~ 男３号,30h~ 男非加入,30h~ 女１号,30h~ 女３号,30h~ 女非加入,~20h 男１号,~20h 男３号,~20h 男非加入,~20h 女１号,~20h 女３号,~20h 女非加入
1,0.000000,0.000000,10920.210127,0.000000,0.000000,3532.860602,0.000000,0.000000,2397.102561,0.000000,0.000000,2892.562853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,10243.040611,61.368935,0.000000,25548.280665,0.000000,0.000000,16596.648522,0.000000,0.000000,17577.008342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,16144.562707,462.215954,0.000000,36322.319907,9658.938472,0.000000,10963.400554,0.000000,0.000000,5518.116936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,20321.318105,993.687251,0.000000,14647.565229,40907.468976,0.000000,3238.602486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,20563.197036,1277.960487,0.000000,10256.252926,51963.826773,0.000000,6437.067808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,12765.870216,1535.039218,0.000000,18088.034748,61924.852869,0.000000,9876.103408,0.000000,0.000000,3572.481110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,18374.425480,1843.152971,0.000000,36189.733178,78316.922028,0.000000,17006.713094,0.000000,0.000000,6668.565933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,23808.937660,2359.123400,0.000000,50330.940488,68491.363501,0.000000,12514.320408,0.000000,0.000000,6950.161674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,27319.772186,2755.347353,0.000000,21357.826524,50179.376068,0.000000,9711.379795,0.000000,0.000000,4911.927863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1790.579509,0.000000,27797.928592,3166.527641,0.000000,75599.678312,455.551296,0.000000,5384.587828,398.554212,0.000000,4367.856470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,9.939211,0.000000,30969.011827,6.365252,0.000000,61194.177001,0.000000,0.000000,0.000000,0.619719,0.000000,2560.667130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
