年齢区分,20~30h 男１号,20~30h 男３号,20~30h 男非加入,20~30h 女１号,20~30h 女３号,20~30h 女非加入,30h~ 男１号,30h~ 男３号,30h~ 男非加入,30h~ 女１号,30h~ 女３号,30h~ 女非加入,~20h 男１号,~20h 男３号,~20h 男非加入,~20h 女１号,~20h 女３号,~20h 女非加入
1,0.000000,0.000000,11865.262511,0.000000,0.000000,24741.869833,0.000000,0.000000,2397.102561,0.000000,0.000000,2892.562853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,24290.576513,84.998476,0.000000,43619.756269,3618.048129,0.000000,16596.648522,0.000000,0.000000,17577.008342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,29521.438451,640.187929,0.000000,60676.727134,29414.624578,0.000000,10963.400554,0.000000,0.000000,5518.116936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,30058.077716,1376.297328,0.000000,31862.488831,85270.024218,0.000000,3238.602486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,26119.996975,1770.027342,0.000000,30430.166297,142469.677464,0.000000,6437.067808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,21230.430421,2126.091858,0.000000,42595.615464,171437.655833,0.000000,9876.103408,0.000000,0.000000,3572.481110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,30079.567100,2552.841960,0.000000,67571.207526,193351.985204,0.000000,17006.713094,0.000000,0.000000,6668.565933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,30006.145877,3267.482025,0.000000,59918.844932,192169.098119,0.000000,12514.320408,0.000000,0.000000,6950.161674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,28614.401107,3816.268343,0.000000,96614.671618,117374.037888,0.000000,9711.379795,0.000000,0.000000,4911.927863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,4153.027215,0.000000,34411.045729,5302.890552,0.000000,180789.502859,455.551296,0.000000,5384.587828,398.554212,0.000000,4367.856470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,15.651850,0.000000,51371.759131,14.368644,0.000000,133385.162748,0.000000,0.000000,0.000000,0.619719,0.000000,2560.667130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
