îNóÓãÊï™,20~30h íjÇPçÜ,20~30h íjÇRçÜ,20~30h íjîÒâ¡ì¸,20~30h èóÇPçÜ,20~30h èóÇRçÜ,20~30h èóîÒâ¡ì¸,30h~ íjÇPçÜ,30h~ íjÇRçÜ,30h~ íjîÒâ¡ì¸,30h~ èóÇPçÜ,30h~ èóÇRçÜ,30h~ èóîÒâ¡ì¸,~20h íjÇPçÜ,~20h íjÇRçÜ,~20h íjîÒâ¡ì¸,~20h èóÇPçÜ,~20h èóÇRçÜ,~20h èóîÒâ¡ì¸
1,0.000000,0.000000,11865.262511,0.000000,0.000000,24741.869833,0.000000,0.000000,11985.512807,0.000000,0.000000,14462.814266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,31446.566565,84.998476,0.000000,47051.060070,3618.048129,0.000000,82983.242610,0.000000,0.000000,87885.041708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,29521.438451,640.187929,0.000000,65211.651303,31682.801657,0.000000,54817.002769,0.000000,0.000000,27590.584678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,31180.251653,1376.297328,0.000000,31862.488831,94627.401164,0.000000,16193.012429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,28558.032624,1770.027342,0.000000,30430.166297,152803.308716,0.000000,32185.339042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,21690.172132,2126.091858,0.000000,44281.001506,175487.926939,0.000000,49380.517041,0.000000,0.000000,17862.405548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,30079.567100,2552.841960,0.000000,77156.468680,198974.645307,0.000000,85033.565472,0.000000,0.000000,33342.829663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,30006.145877,3267.482025,0.000000,68582.346370,198390.297223,0.000000,62571.602041,0.000000,0.000000,34750.808369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,28614.401107,3816.268343,0.000000,97273.897128,120025.365614,0.000000,48556.898973,0.000000,0.000000,24559.639313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,4400.126284,0.000000,35500.498262,5544.708644,0.000000,190053.142720,2277.756479,0.000000,26922.939141,1992.771058,0.000000,21839.282348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,16.623787,0.000000,53240.040219,14.368644,0.000000,140433.713388,0.000000,0.000000,0.000000,3.098597,0.000000,12803.335648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
