�Z����㍤,怄���,�X�㍤,合䦈,15㫳,16㫳,17㫳,18㫳,19㫳,20㫳,21㫳,22㫳,23㫳,24㫳,25㫳,26㫳,27㫳,28㫳,29㫳,30㫳,31㫳,32㫳,33㫳,34㫳,35㫳,36㫳,37㫳,38㫳,39㫳,40㫳,41㫳,42㫳,43㫳,44㫳,45㫳,46㫳,47㫳,48㫳,49㫳,50㫳,51㫳,52㫳,53㫳,54㫳,55㫳,56㫳,57㫳,58㫳,59㫳,60㫳,61㫳,62㫳,63㫳,64㫳,65㫳,66㫳,67㫳,68㫳,69㫳,70㫳,71㫳,72㫳,73㫳,74㫳,75㫳,76㫳,77㫳,78㫳,79㫳,80㫳,81㫳,82㫳,83㫳,84㫳,85㫳,86㫳,87㫳,88㫳,89㫳,90㫳,91㫳,92㫳,93㫳,94㫳,95㫳,96㫳,97㫳,98㫳,99㫳,100㫳
2,1,2020,1740023,0,0,1,0,4075,5446,7347,8560,26554,31505,34636,38698,39110,40738,42528,42301,44345,46895,46914,43738,42511,41474,40196,38976,38541,39124,39803,40787,41062,41113,43251,47024,48543,49148,48009,46632,44776,45634,46552,40786,47190,49984,49521,50223,50412,49885,21707,18858,14353,8400,6502,2264,1544,1063,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2021,1736167,0,0,2,2,3874,5335,7238,8354,27224,30786,34627,36765,40237,40334,41777,43304,42819,44788,47274,47177,44015,42702,41591,40355,39107,38683,39195,39819,40810,41065,41139,43256,46941,48449,49047,47889,46438,44563,45395,46262,40496,46749,49442,48886,49140,48451,22864,20097,16848,9618,7535,2703,2132,1528,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2022,1685592,0,0,0,0,3479,4998,6950,8167,23633,28495,31090,34076,35835,39278,39464,40832,42450,41901,44005,46474,46528,43390,42110,41072,39905,38600,38286,38744,39393,40424,40717,40777,42863,46489,47966,48557,47312,45839,44014,44782,45585,39855,45906,48260,47405,46756,22202,20078,17374,10572,7830,1495,1375,1173,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2023,1673731,0,0,0,0,3976,4934,6771,7856,23465,28250,32278,33645,36082,37684,40525,40449,41567,42946,42327,44266,46666,46487,43290,41982,40979,39819,38546,38156,38578,39195,40178,40458,40515,42527,46061,47469,48024,46729,45195,43380,44096,44833,39119,44823,46885,45321,21794,19776,17092,14361,8647,2857,1055,993,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2024,1661186,0,0,0,0,4103,5464,6772,7721,23663,28264,32194,34908,35767,38021,39069,41548,41259,42142,43392,42672,44551,46656,46346,43159,41893,40893,39763,38427,38014,38406,38980,39937,40210,40222,42162,45598,46961,47438,46076,44545,42727,43380,43988,38220,43561,44830,21142,19436,16849,14140,9087,3155,2015,762,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2025,1649037,0,0,0,0,4101,5586,7281,7723,23531,28453,32207,34827,36986,37716,39393,40138,42325,41841,42609,43710,42993,44586,46512,46157,43049,41792,40819,39625,38280,37850,38202,38756,39696,39921,39890,41758,45118,46390,46771,45411,43869,42039,42569,42961,37165,41664,20915,18868,16564,13942,8946,3316,2226,1455,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2026,1638443,0,0,0,0,3916,5510,7306,8157,22801,28067,32164,34668,36757,38746,38976,40345,40865,42798,42244,42884,43948,43016,44448,46284,45959,42898,41676,40643,39439,38095,37637,37972,38517,39403,39582,39509,41327,44569,45736,46083,44710,43150,41249,41573,41750,35561,19444,18649,16075,13699,11405,3265,2338,1607,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2027,1628188,0,0,0,0,3900,5325,7226,8176,23155,27343,31773,34614,36594,38514,39963,39934,41057,41371,43170,42524,43135,43946,42906,44258,46081,45756,42761,41484,40440,39234,37875,37417,37744,38239,39069,39205,39111,40837,43945,45067,45371,43971,42334,40287,40405,39930,16632,17368,15890,13301,11206,3220,2304,1690,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2028,1617755,0,0,0,0,3972,5339,7084,8120,23461,27785,31162,34300,36598,38413,39787,40929,40694,41590,41809,43452,42806,43169,43832,42761,44106,45886,45581,42560,41274,40225,39005,37657,37201,37482,37927,38704,38815,38662,40280,43312,44375,44622,43140,41345,39163,38650,18648,14929,14824,13156,10879,3163,2270,1663,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2029,1607881,0,0,0,0,3920,5389,7072,7967,23205,28008,31527,33664,36256,38376,39653,40729,41635,41215,42002,42105,43698,42835,43061,43659,42628,43938,45702,45329,42329,41043,39978,38766,37436,36943,37179,37574,38319,38369,38138,39710,42652,43645,43773,42129,40186,37466,18056,16677,12782,12287,10762,3070,2230,1640,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2030,1598460,0,0,0,0,3875,5321,7096,7942,22877,27697,31686,33974,35604,38010,39590,40575,41417,42111,41619,42279,42368,43695,42726,42896,43501,42478,43780,45443,45051,42078,40779,39719,38523,37171,36644,36833,37206,37877,37848,37607,39118,41954,42818,42744,40942,38439,17507,16158,14242,10625,10050,3038,2166,1611,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2031,1589157,0,0,0,0,3858,5268,7024,7962,22788,27359,31366,34114,35889,37369,39225,40503,41260,41892,42485,41900,42531,42391,43562,42562,42749,43333,42343,43549,45160,44755,41796,40508,39463,38243,36867,36307,36475,36782,37367,37322,37053,38493,41165,41812,41537,39159,17955,15677,13804,11809,8690,2837,2142,1564,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2032,1580339,0,0,0,0,3839,5246,6965,7885,22731,27247,31017,33788,36008,37631,38592,40138,41179,41729,42265,42739,42156,42546,42283,43381,42418,42593,43181,42133,43293,44862,44431,41508,40239,39166,37924,36525,35956,36062,36287,36847,36773,36470,37782,40203,40635,39725,18286,16064,13401,11452,9659,2452,2000,1547,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2033,1571304,0,0,0,0,3854,5233,6948,7833,22716,27211,30928,33462,35707,37754,38855,39535,40836,41659,42114,42529,42978,42182,42438,42129,43225,42270,42452,42959,41900,43025,44539,44107,41227,39932,38836,37567,36171,35552,35581,35789,36308,36195,35807,36911,39076,38865,18548,16353,13726,11126,9367,2726,1731,1444,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2034,1562363,0,0,0,0,3805,5227,6913,7805,22475,27130,30836,33332,35354,37427,38944,39761,40226,41303,42027,42365,42759,42974,42071,42271,41986,43055,42130,42236,42710,41648,42725,44208,43783,40901,39585,38464,37195,35761,35078,35092,35268,35739,35535,34985,35885,37379,18148,16576,13964,11387,9101,2645,1923,1250,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2035,1553582,0,0,0,0,3737,5153,6875,7750,22179,26803,30673,33180,35173,37033,38580,39810,40411,40681,41653,42257,42575,42743,42834,41901,42116,41828,42891,41911,41991,42437,41361,42415,43878,43419,40539,39201,38074,36764,35282,34595,34583,34718,35086,34721,34019,34335,17460,16220,14144,11576,9315,2569,1866,1389,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2036,1545192,0,0,0,0,3647,5053,6758,7687,21776,26396,30252,32943,34956,36789,38143,39406,40412,40825,41014,41863,42442,42541,42588,42631,41737,41941,41670,42649,41660,41720,42132,41065,42102,43505,43015,40135,38795,37626,36264,34793,34092,34042,34083,34278,33758,32552,16051,15611,13841,11718,9470,2630,1811,1348,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
