12_1m_Izoku_Ko.csv,,,,
12,0,2 ,1561800 ,449400 
12,1,8 ,6247200 ,674100 
12,2,8 ,6247200 ,224700 
12,3,26 ,20303400 ,2996000 
12,4,40 ,31236000 ,5692400 
12,5,71 ,55443900 ,8014300 
12,6,90 ,70281000 ,11309900 
12,7,116 ,90584400 ,13182400 
12,8,140 ,109326000 ,18949700 
12,9,168 ,131191200 ,23818200 
12,10,218 ,170236200 ,25915400 
12,11,241 ,188196900 ,31233300 
12,12,305 ,238174500 ,26964000 
12,13,337 ,263163300 ,31982300 
12,14,377 ,294399300 ,32581500 
12,15,440 ,343596000 ,27413400 
12,16,445 ,347500500 ,18799900 
12,17,557 ,434961300 ,8688400 
12,18,645 ,503680500 ,2022300 
12,19,31 ,24207900 ,0 
