2023îNìxññåˆìIîNã‡îÌï€åØé“É}ÉbÉvÅiêlêîÅj,,,,,,,,,,,,
íj,,,,,,,,,,,,
îNóÓ,å˙îNÇPÅEÇQéÌ,å˙îNÇRéÌ,çëã§ÇQçÜ,ínã§ÇQçÜ,éÑäwÇQçÜ,ÉpÅ[Ég,å˙îNÇRçÜ,çëã§ÇRçÜ,ínã§ÇRçÜ,éÑäwÇRçÜ,ÇPçÜàÍî ,ÇPçÜîCà”
15,29.033622817667200,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
16,1178.364622634280000,14.016231705080700,262.623803568697000,0.000000000000000,0.000000000000000,18.416816445420300,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
17,2247.602869850440000,26.030144595149900,337.232838673441000,0.000000000000000,0.000000000000000,70.417239350136400,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
18,9955.529148237320000,63.073042672863100,3879.669825446670000,0.000000000000000,1.004162848024370,132.167741549487000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
19,93720.534455429600000,475.550718565238000,6252.237141777510000,3906.656279851170000,38.158188224926100,764.839553556867000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
20,113534.480289376000000,587.680572205884000,7195.295345501470000,4903.547859317160000,51.212305249243000,1264.260281870910000,10.386175042771800,0.000000000000000,0.000000000000000,0.000000000000000,477636.653147496000000,47.401141922083200
21,170282.197825618000000,1197.386651376890000,8455.690645204270000,6731.515384790860000,254.053200550166000,1925.098989618350000,46.737787692473100,0.000000000000000,0.000000000000000,0.000000000000000,433729.185981659000000,74.333608923266900
22,201203.006126433000000,1183.370419671810000,9167.958233670890000,7828.295900075080000,470.952375723430000,2386.602742897700000,99.707280410609300,0.000000000000000,5.193087521385900,5.193087521385900,404655.896977367000000,63.560622122793400
23,367345.409802015000000,1199.388970191910000,11808.123289244100000,23185.220892770500000,2150.916820468200000,3369.194067368070000,185.912533265615000,5.193087521385900,9.347557538494620,0.000000000000000,231386.057204230000000,108.807166684782000
24,403901.744407680000000,1153.335637446640000,12594.999912815400000,28128.724326415000000,2557.602773918070000,3575.029074699230000,304.314928753214000,5.193087521385900,15.579262564157700,10.386175042771800,198863.806597091000000,118.502854805208000
25,450703.944389760000000,1144.325202779090000,13119.252732818100000,32164.237333471700000,3316.749887024500000,3523.028651794520000,508.922577095818000,10.386175042771800,21.810967589820800,10.386175042771800,154808.584620803000000,142.203425766250000
26,469885.157478163000000,1081.252160106230000,13160.039005342000000,33548.697983912400000,3754.564888763130000,3377.860804518850000,714.568842942700000,16.617880068434900,43.621935179641600,15.579262564157700,133392.233259454000000,145.435321806392000
27,481090.133566967000000,1038.202305583480000,13463.449081434700000,35989.983575310100000,4009.622252161320000,3192.609297920800000,940.987458875125000,16.617880068434900,47.776405196750300,15.579262564157700,124985.389352512000000,188.527269008286000
28,480212.116766585000000,991.147813430706000,13513.188438171200000,37591.203216476400000,4228.529753030630000,3167.692428612290000,1207.912157474360000,10.386175042771800,69.587372786571100,24.926820102652300,113023.321821506000000,216.537034689517000
29,499840.848110143000000,1032.195349138440000,14097.128486257600000,40438.037887296100000,4829.019136149200000,3155.775665029960000,1514.304321236130000,21.810967589820800,63.355667760908000,20.772350085543600,113382.588655137000000,255.319787171221000
