2023îNìxññåˆìIîNã‡îÌï€åØé“É}ÉbÉvÅiêlêîÅj,,,,,,,,,,,,
íj,,,,,,,,,,,,
îNóÓ,å˙îNÇPÅEÇQéÌ,å˙îNÇRéÌ,çëã§ÇQçÜ,ínã§ÇQçÜ,éÑäwÇQçÜ,ÉpÅ[Ég,å˙îNÇRçÜ,çëã§ÇRçÜ,ínã§ÇRçÜ,éÑäwÇRçÜ,ÇPçÜàÍî ,ÇPçÜîCà”
15,29.0336228176672000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000
16,1178.3646226342800000000,14.0162317050807000000,262.6238035686970000000,0.0000000000000000000,0.0000000000000000000,18.4168164454203000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000
17,2247.6028698504400000000,26.0301445951499000000,337.2328386734410000000,0.0000000000000000000,0.0000000000000000000,70.4172393501364000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000
18,9955.5291482373200000000,63.0730426728631000000,3879.6698254466700000000,0.0000000000000000000,1.0041628480243700000,132.1677415494870000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000
19,93720.5344554296000000000,475.5507185652380000000,6252.2371417775100000000,3906.6562798511700000000,38.1581882249261000000,764.8395535568670000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000
20,113534.4802893760000000000,587.6805722058840000000,7195.2953455014700000000,4903.5478593171600000000,51.2123052492430000000,1264.2602818709100000000,10.3861750427718000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,477636.6531474960000000000,47.4011419220832000000
21,170282.1978256180000000000,1197.3866513768900000000,8455.6906452042700000000,6731.5153847908600000000,254.0532005501660000000,1925.0989896183500000000,46.7377876924731000000,0.0000000000000000000,0.0000000000000000000,0.0000000000000000000,433729.1859816590000000000,74.3336089232669000000
22,201203.0061264330000000000,1183.3704196718100000000,9167.9582336708900000000,7828.2959000750800000000,470.9523757234300000000,2386.6027428977000000000,99.7072804106093000000,0.0000000000000000000,5.1930875213859000000,5.1930875213859000000,404655.8969773670000000000,63.5606221227934000000
23,367345.4098020150000000000,1199.3889701919100000000,11808.1232892441000000000,23185.2208927705000000000,2150.9168204682000000000,3369.1940673680700000000,185.9125332656150000000,5.1930875213859000000,9.3475575384946200000,0.0000000000000000000,231386.0572042300000000000,108.8071666847820000000
24,403901.7444076800000000000,1153.3356374466400000000,12594.9999128154000000000,28128.7243264150000000000,2557.6027739180700000000,3575.0290746992300000000,304.3149287532140000000,5.1930875213859000000,15.5792625641577000000,10.3861750427718000000,198863.8065970910000000000,118.5028548052080000000
25,450703.9443897600000000000,1144.3252027790900000000,13119.2527328181000000000,32164.2373334717000000000,3316.7498870245000000000,3523.0286517945200000000,508.9225770958180000000,10.3861750427718000000,21.8109675898208000000,10.3861750427718000000,154808.5846208030000000000,142.2034257662500000000
26,469885.1574781630000000000,1081.2521601062300000000,13160.0390053420000000000,33548.6979839124000000000,3754.5648887631300000000,3377.8608045188500000000,714.5688429427000000000,16.6178800684349000000,43.6219351796416000000,15.5792625641577000000,133392.2332594540000000000,145.4353218063920000000
27,481090.1335669670000000000,1038.2023055834800000000,13463.4490814347000000000,35989.9835753101000000000,4009.6222521613200000000,3192.6092979208000000000,940.9874588751250000000,16.6178800684349000000,47.7764051967503000000,15.5792625641577000000,124985.3893525120000000000,188.5272690082860000000
28,480212.1167665850000000000,991.1478134307060000000,13513.1884381712000000000,37591.2032164764000000000,4228.5297530306300000000,3167.6924286122900000000,1207.9121574743600000000,10.3861750427718000000,69.5873727865711000000,24.9268201026523000000,113023.3218215060000000000,216.5370346895170000000
29,499840.8481101430000000000,1032.1953491384400000000,14097.1284862576000000000,40438.0378872961000000000,4829.0191361492000000000,3155.7756650299600000000,1514.3043212361300000000,21.8109675898208000000,63.3556677609080000000,20.7723500855436000000,113382.5886551370000000000,255.3197871712210000000
30,485535.2813362930000000000,991.1478134307060000000,13193.8617679229000000000,40367.1167428651000000000,4665.3405919212300000000,2972.6908427196100000000,1727.2209096129500000000,30.1199076240382000000,93.4755753849462000000,31.1585251283154000000,106865.1846873130000000000,283.3295528524520000000
31,486918.8836374660000000000,974.1281035031080000000,13886.2336136949000000000,41488.8694921039000000000,4855.1273701978400000000,2831.8563640193300000000,1916.2492953914000000000,44.6605526839187000000,114.2479254704900000000,31.1585251283154000000,107130.3337307240000000000,256.3970858512680000000
32,485078.7526464700000000000,1011.1710015808200000000,14096.1336991229000000000,42870.3334744701000000000,5133.2804791005900000000,2772.2725461076800000000,2071.0033035287000000000,47.7764051967503000000,136.0588930603110000000,47.7764051967503000000,110534.7664865880000000000,289.7933449327360000000
33,481787.9416739990000000000,1014.1744798033400000000,14567.6628009849000000000,42255.0176298298000000000,5078.0515224592500000000,2585.9376973657800000000,2250.6841317686500000000,50.8922577095818000000,125.6727180175390000000,51.9308752138590000000,109462.0260819460000000000,294.1025396529250000000
34,488743.9972373490000000000,961.1130312055340000000,14893.9529811763000000000,44195.8596527781000000000,5050.9391255625900000000,2574.0209337834500000000,2349.3527946749800000000,45.6991701881959000000,175.5263582228430000000,44.6605526839187000000,111413.1991952940000000000,293.0252409728780000000
35,510261.9163828700000000000,902.0446261626930000000,16461.7375055106000000000,46594.1930017739000000000,5454.6125904683900000000,2658.5216210036100000000,2521.7633003849900000000,44.6605526839187000000,184.8739157613380000000,41.5447001710872000000,115173.8627270380000000000,313.4939158937780000000
36,511878.7888259920000000000,917.0620172752800000000,17145.1562670701000000000,46419.3873640920000000000,5540.9705953984800000000,2452.6866136724400000000,2490.6047752566800000000,48.8150227010275000000,199.4145608212190000000,61.2784327523536000000,122645.6008472930000000000,340.4263828949610000000
37,525299.3306836070000000000,894.0353509026470000000,17308.3013571658000000000,43227.9358646994000000000,5296.9590233285600000000,2506.8537208648600000000,2573.6941755988500000000,70.6259902908482000000,222.2641459153170000000,67.5101377780167000000,127715.8172881000000000000,342.5809802550560000000
38,543734.6800134180000000000,975.1292629106140000000,17737.0546122344000000000,41923.3863629132000000000,5158.3845503012000000000,2329.1856092737400000000,2642.2429308811500000000,70.6259902908482000000,213.9552058810990000000,63.3556677609080000000,129040.5504859080000000000,395.3686155773760000000
39,559928.4334298240000000000,964.1165094280510000000,17643.5446215698000000000,40922.4992260145000000000,5353.1921428179300000000,2329.1856092737400000000,2723.2550962147700000000,74.7804603079570000000,240.9592609923060000000,86.2052528550059000000,136488.0001441710000000000,386.7502261369970000000
40,575615.6001860320000000000,1014.1744798033400000000,17688.3100426326000000000,39764.7864598812000000000,5226.6676239668500000000,2407.1862436308200000000,2948.6350946429100000000,78.9349303250657000000,232.6503209580880000000,76.8576953165113000000,139200.2117332650000000000,453.5427442999330000000
41,575760.7683001200000000000,937.0852054253950000000,17668.4142999380000000000,38493.2003069150000000000,5326.0797459212700000000,2234.9348427589500000000,3078.4622826775600000000,71.6646077951254000000,251.3454360350780000000,83.0894003421744000000,143957.7142259260000000000,440.6151601393640000000
42,572772.3074687150000000000,976.1304223181200000000,18141.9329760694000000000,38106.6301252985000000000,5393.3586567389000000000,2259.8517120674600000000,2965.2529747113500000000,83.0894003421744000000,297.0446062232730000000,98.6686629063321000000,143401.1036386120000000000,456.7746403400750000000
43,584503.8934058680000000000,973.1269440956030000000,18417.4890123896000000000,38528.1614344514000000000,5478.7124988209700000000,2208.9346313065900000000,3073.2691951561800000000,99.7072804106093000000,280.4267261548390000000,101.7845154191640000000,144990.9858798310000000000,477.2433152609740000000
44,611210.8217604920000000000,969.1223064655800000000,19583.3795342931000000000,39145.4750578081000000000,5452.6042647723400000000,2141.7674183880000000000,3307.9967511228200000000,87.2438703592831000000,274.1950211291750000000,97.6300454020549000000,153301.6879580560000000000,477.2433152609740000000
45,629059.4916775040000000000,1020.1814362483700000000,20550.3126292506000000000,40127.3832969014000000000,5687.5783712100400000000,2299.9353713898400000000,3381.7385939265000000000,116.3251604790440000000,304.3149287532140000000,113.2093079662130000000,162727.6352494080000000000,499.8665875419680000000
46,647233.5384019560000000000,1001.1594075057600000000,21545.0997639805000000000,40407.0723171924000000000,5783.9780046203800000000,2273.9351599374800000000,3507.4113119440400000000,98.6686629063321000000,331.3189838644200000000,108.0162204448270000000,166520.6833971410000000000,513.8714703825840000000
47,661114.6135870240000000000,1071.2405660311700000000,21966.8895091060000000000,40465.0078999670000000000,5679.5450684258500000000,2311.8521349721700000000,3674.6287301326600000000,96.5914278977777000000,342.7437764114690000000,99.7072804106093000000,169839.0945167830000000000,518.1806651027730000000
